round,accuracy,loss
0,0.0887,2.3134078375900846
1,0.5263,2.3980596608753446
2,0.1898,20.36486508574667
3,0.4921,1.5488131061384949
4,0.5039,2.284112565125091
5,0.7962,0.7340222233081166
6,0.8559,0.5293508047544504
7,0.9027,0.3011230650251802
8,0.9167,0.26334568131950836
9,0.9545,0.15364097654112155
10,0.9407,0.20320459646231767
11,0.953,0.17716782068527198
12,0.9607,0.14072952065852623
13,0.9625,0.11915416145532191
14,0.9658,0.11499395266711665
15,0.9704,0.1034932411268436
16,0.9723,0.09178690057280296
17,0.9735,0.08948496340102033
18,0.9759,0.08615365838911974
19,0.9773,0.08145417563051363
20,0.9777,0.07883407125143405
