round,accuracy,loss
0,0.1078,2.3029394813730746
1,0.1314,2.296440423289432
2,0.0972,2.2911346683019325
3,0.1268,2.2900470480134216
4,0.1304,2.2827179944967924
5,0.1389,2.275625874724569
6,0.1582,2.2753199474721013
7,0.1654,2.2776170591764813
8,0.1767,2.270639829997775
9,0.18,2.2646811461146874
10,0.1831,2.2567165954203547
11,0.1819,2.2527674934532067
12,0.1883,2.252808184563359
13,0.1939,2.2465906354445444
14,0.1993,2.2455672312386428
15,0.2003,2.2462362488613854
16,0.2151,2.2431353949293307
17,0.2136,2.2419825626325003
18,0.2187,2.2397482214094717
19,0.2255,2.2356277508071707
20,0.2252,2.2359731016279776
