round,accuracy,loss
0,0.0839,2.308475102050395
1,0.87,0.5129709934132008
2,0.9189,0.28816454390747637
3,0.9355,0.22560455136095423
4,0.9462,0.1853116153727604
5,0.9514,0.15931053585785476
6,0.9591,0.13480263835267176
7,0.963,0.1208732707361113
8,0.9664,0.1087120996841194
9,0.9708,0.0991925660585631
10,0.9717,0.0912509815696674
11,0.9732,0.08512697490433208
12,0.9758,0.07909342805306793
13,0.9775,0.0734344092801897
14,0.9769,0.07268822324002468
15,0.9784,0.0671782902931158
16,0.9802,0.06429072438748082
17,0.9786,0.06349937526046452
18,0.9814,0.059709011461391244
19,0.9821,0.057520161071185114
20,0.9825,0.05626570802665304
21,0.9829,0.05425088190771286
22,0.9835,0.05291124914118525
23,0.983,0.053274578017719044
24,0.9841,0.049742465844684385
25,0.9842,0.048362254921812564
26,0.9842,0.04887584623581541
27,0.9844,0.04737480039026034
28,0.985,0.04612285464551135
29,0.9855,0.04455151621958158
30,0.9853,0.04466254438886631
31,0.9854,0.04375561392465253
32,0.9855,0.04420880216234246
33,0.986,0.042508033568981175
34,0.9857,0.04127473865184031
35,0.9858,0.04029785015780915
36,0.986,0.041078461282532897
37,0.986,0.040450894227398775
38,0.9863,0.03886100480534119
39,0.9864,0.03896823897626239
40,0.9865,0.03943735616844548
41,0.987,0.037636456027836246
42,0.9868,0.03729912673128338
43,0.987,0.03764151889665783
44,0.9868,0.0387226817337354
45,0.987,0.03781732379184753
46,0.9879,0.036157881464555716
47,0.9875,0.036192170810046505
48,0.9876,0.035983189983003115
49,0.9873,0.0361232178999867
50,0.9881,0.03519827845308169
51,0.9882,0.034976061006574716
52,0.988,0.035431999006769854
53,0.9882,0.03471154552299376
54,0.9878,0.03477101859340409
55,0.9885,0.0342457998856015
56,0.9885,0.033697859448221616
57,0.9875,0.03488552343526551
58,0.9882,0.03368754891760292
59,0.9883,0.03394718737758864
60,0.9892,0.03318134261220782
61,0.9883,0.03364271049010508
62,0.9889,0.033106336152522536
63,0.989,0.03273418598740746
64,0.9888,0.03296848468062884
65,0.9894,0.03251182740753888
66,0.989,0.03288597839970482
67,0.989,0.03242648879350332
68,0.989,0.032286684430639784
69,0.989,0.03318207804850432
70,0.9895,0.03235496900438941
71,0.9892,0.03201782006008331
72,0.9891,0.031872459367656994
73,0.989,0.03175371927470304
74,0.9893,0.032292517796847706
75,0.9894,0.031923458050636025
76,0.9896,0.03233219808022067
77,0.989,0.031758661286760255
78,0.9899,0.03157074903261858
79,0.9895,0.03157601438784074
80,0.9899,0.03109143187450886
81,0.9894,0.03176034092518156
82,0.9893,0.03133370718023798
83,0.9893,0.03183564451989431
84,0.9897,0.03183724059007419
85,0.9892,0.031822968504284406
86,0.9896,0.03142639396873729
87,0.9896,0.03178465113353612
88,0.9897,0.031290953119596336
89,0.9897,0.030971061446104578
90,0.9895,0.031365618347898576
91,0.9894,0.03106478721655307
92,0.9896,0.03131475958333438
93,0.9894,0.03136929253738529
94,0.9895,0.031360191056477034
95,0.9892,0.03170147964070404
96,0.9896,0.03138814577526123
97,0.9893,0.031153653883191947
98,0.9899,0.03071955839099062
99,0.9896,0.031279603554059024
100,0.9893,0.032049524953608736
101,0.9891,0.03157076763823228
102,0.9893,0.03186396271869658
103,0.9892,0.03202482595006126
104,0.9892,0.031555857014632524
105,0.9893,0.03146050801391354
106,0.9893,0.031244784715155117
107,0.9892,0.03127848619923601
108,0.9895,0.030926684307895455
109,0.9891,0.03166380406209895
110,0.9893,0.03132210555698213
111,0.9895,0.031357520229316316
112,0.9892,0.03163496381952013
113,0.9895,0.03143337511879002
114,0.9892,0.031691896893950994
115,0.989,0.03169281759809438
116,0.9892,0.03174244176981246
117,0.9894,0.03143572747253126
118,0.9889,0.0316049701229151
119,0.9892,0.032157538512065806
120,0.9892,0.03181368902323235
121,0.9893,0.03134330528015958
122,0.9891,0.032507210226090655
123,0.9892,0.03204838207250448
124,0.9888,0.03190055917509164
125,0.9892,0.03188565170486544
126,0.9892,0.031973645438167206
127,0.9889,0.032005810438195
128,0.989,0.032252446932880395
129,0.9895,0.03218378178547637
130,0.9894,0.031982601301081826
131,0.9892,0.031835719759092634
132,0.9888,0.03200053431008292
133,0.9892,0.03193807241106835
134,0.9889,0.03205288759387212
135,0.9891,0.032088273427683514
136,0.9893,0.03222264706062537
137,0.9889,0.03251339616586916
138,0.9896,0.031943287849635106
139,0.9891,0.03238638240714817
140,0.9894,0.03255249482123838
141,0.989,0.032908128277494474
142,0.9894,0.03223141889048183
143,0.9893,0.03217821714056472
144,0.9898,0.03222665365818194
145,0.9895,0.03262673765162686
146,0.9888,0.032902531344982694
147,0.9895,0.03239892873928431
148,0.989,0.03268755714835791
149,0.9894,0.03265260168468213
150,0.9893,0.03287319579023944
151,0.9893,0.03256856907559774
152,0.9891,0.03258337003710696
153,0.9893,0.0325171861201242
154,0.9897,0.032342312954185645
155,0.9897,0.03267167194127368
156,0.9895,0.033010415953246094
157,0.9892,0.03308201987541204
158,0.989,0.03349044861934838
159,0.989,0.03360525709532236
160,0.9891,0.03310153672953076
161,0.9892,0.0335154166945951
162,0.9894,0.03375452622098197
163,0.9893,0.033374722562427184
164,0.9893,0.03329836881915912
165,0.9896,0.0330642278402253
166,0.9894,0.0335762623381303
167,0.9891,0.03382688638126476
168,0.9892,0.03377650622053208
169,0.9887,0.033944766109537144
170,0.9892,0.033646234301262595
171,0.989,0.03393684223081874
172,0.9894,0.03372915615438436
173,0.9888,0.034324170818969164
174,0.9893,0.03395709853708623
175,0.9889,0.034107471477440574
176,0.9897,0.03384978721691558
177,0.9891,0.03406485324419435
178,0.9896,0.03401950869920688
179,0.9894,0.03425578674544145
180,0.9889,0.03470225815670755
181,0.9889,0.03448607117913433
182,0.9894,0.03455780154219087
183,0.989,0.03451795377684506
184,0.9891,0.03438487230306392
185,0.989,0.034540822934222656
186,0.9889,0.03480879934029504
187,0.9894,0.034465505909253485
188,0.9895,0.0346400216411465
189,0.989,0.03503164165770993
190,0.9887,0.03520982405073574
191,0.9891,0.03500613455543017
192,0.9887,0.03514917111073218
193,0.9892,0.03497162586786486
194,0.9891,0.035065759491328806
195,0.9891,0.03547956198039623
196,0.9889,0.03554783178563993
197,0.9892,0.035226230418189355
198,0.9894,0.035086594836776626
199,0.9892,0.03531377048380542
200,0.9889,0.03569662375869202
