round,accuracy,loss
0,0.1008,2.3069251036342187
1,0.1868,2.305825767637808
2,0.2354,2.157419624207895
3,0.2814,2.1768575936933106
4,0.1991,3.3274987739852713
5,0.1278,11.1855116373376
6,0.2027,32.01556039158302
7,0.1467,36.85956199259697
8,0.101,17.661515779133083
9,0.0892,2.9756679806528212
10,0.0958,2.449796036828922
11,0.0958,2.646022932438911
12,0.1032,2.9776616277573984
13,0.1135,5.43993097015574
14,0.101,10.599194212804866
15,0.0958,18.535371635533586
16,0.1423,10.893145766439318
17,0.1032,4.737400930139083
18,0.1392,2.4444692165036743
19,0.0892,5.635994235171547
20,0.1647,5.208433054670503
21,0.101,8.163093283206601
22,0.0982,5.348274381854866
23,0.0974,5.600150283378891
24,0.0858,4.770742615566978
25,0.1166,3.038797399665736
26,0.101,3.68307643600657
27,0.1057,3.6632229285904123
28,0.0938,2.720186420633823
29,0.0982,3.234940758234338
30,0.1118,3.239807569527928
31,0.1442,2.700690885133381
32,0.1345,3.262067840069155
33,0.096,3.849418727657463
34,0.1107,3.415244902236552
35,0.0974,3.993752066093155
36,0.1192,2.6974586927438082
37,0.1795,2.4302618111236187
38,0.2036,2.6959664157674283
39,0.196,3.119596242904663
40,0.2455,2.735970174209981
41,0.2542,2.701383811009081
42,0.3435,1.886858093587658
43,0.3946,1.6791938498050352
44,0.4803,1.6636750969705703
45,0.5177,1.6540392380726487
46,0.5455,1.528958771802202
47,0.5048,1.3567633809922617
48,0.4747,1.898225793355628
49,0.5175,1.544936499263667
50,0.6,1.3482206177107896
51,0.5895,1.5563695076145703
52,0.5402,1.591334580620633
53,0.6114,1.166780792459657
54,0.5536,1.4782927624786957
55,0.5624,1.3244116872171812
56,0.5963,1.2031853236729586
57,0.5347,1.383317539209052
58,0.4672,1.8846123957935768
59,0.4829,1.6474089909203444
60,0.4691,1.9928164376488215
61,0.5762,1.2321752717223349
62,0.5954,1.1728182518029515
63,0.5255,1.3192036242424687
64,0.6338,1.0817638552641566
65,0.6594,1.0260915288442298
66,0.6515,1.0152217398715924
67,0.6891,0.9311000953746748
68,0.7026,0.8076136123530472
69,0.6482,0.9848350761811945
70,0.7359,0.7912982238244407
71,0.7129,0.8319415978238552
72,0.72,0.8217099523997005
73,0.6984,0.8817424178123474
74,0.7745,0.706493823588649
75,0.6761,0.9678365229805813
76,0.66,1.1040968057475513
77,0.7051,0.8764086625998533
78,0.7238,0.8054627693152125
79,0.7236,0.8871667837794823
80,0.7754,0.7040860320948348
81,0.7598,0.747689666250084
82,0.8012,0.6361224200529388
83,0.7824,0.6736970257155502
84,0.7498,0.7166374774673318
85,0.8391,0.5114773874041401
86,0.795,0.6636976584603514
87,0.8179,0.59610169031952
88,0.8367,0.5363202594880816
89,0.8031,0.5601623173378691
90,0.8052,0.6039882498451427
91,0.8289,0.5256359709214561
92,0.8576,0.4656251320921922
93,0.8199,0.5338438732337348
94,0.8669,0.446419265734244
95,0.8457,0.48483711509387706
96,0.8556,0.45974942287312276
97,0.8553,0.452946935273424
98,0.8684,0.43517545940755287
99,0.8307,0.5054538776225681
100,0.8356,0.4873146248769157
101,0.8445,0.4689362496137619
102,0.8068,0.5446476151671591
103,0.7965,0.5920620332413082
104,0.8354,0.4634597344866282
105,0.8782,0.4032777959032904
106,0.8761,0.4146158269877675
107,0.8424,0.4586560911015619
108,0.873,0.4118394894124586
109,0.8769,0.3931913255136224
110,0.8842,0.3809855867035781
111,0.8834,0.38998258755176884
112,0.8558,0.43227379080615463
113,0.8902,0.37568809865396235
114,0.8858,0.37503579042003127
115,0.8906,0.3643939032962051
116,0.8844,0.36950419786610184
117,0.8921,0.35598713508512403
118,0.8999,0.3462809379908103
119,0.895,0.3596470821884614
120,0.8904,0.356877186913279
121,0.8919,0.347861750405046
122,0.8896,0.35168013221855404
123,0.8973,0.3485885367174692
124,0.8754,0.4146329915221733
125,0.852,0.45306690225872814
126,0.8782,0.3848818814075446
127,0.8519,0.44019254023515725
128,0.8798,0.37595988828924637
129,0.8304,0.5079751996488511
130,0.8282,0.5273986675694019
131,0.8326,0.4794139160385615
132,0.8413,0.49867375289337545
133,0.9065,0.30572702103777777
134,0.8266,0.5363755186524573
135,0.8742,0.4011032192767421
136,0.8532,0.46121648887667477
137,0.8727,0.39845836021100417
138,0.8965,0.33369770499913
139,0.8727,0.402743221178085
140,0.901,0.3229108021794995
141,0.8722,0.39492860700510724
142,0.8919,0.34946484194148947
143,0.8733,0.3951064952755276
144,0.8996,0.3284325853838951
145,0.8706,0.38302176794673826
146,0.8971,0.3422645803871034
147,0.8798,0.38135411835546734
148,0.8828,0.3726476791161525
149,0.878,0.38867259959254086
150,0.8938,0.3311460907983629
151,0.8867,0.35091468234416806
152,0.9101,0.30706646939433074
153,0.8913,0.3685661272346219
154,0.9074,0.30879907163826725
155,0.8814,0.36792315778475776
156,0.8973,0.32911189390888695
157,0.8972,0.32101786518587344
158,0.9087,0.30650963888892646
159,0.8956,0.3335026200342027
160,0.9221,0.2598270958737482
161,0.9022,0.30569718330155443
162,0.919,0.2685458984556077
163,0.9021,0.309937543035308
164,0.9159,0.26901286833365506
165,0.9127,0.2848467351043526
166,0.9158,0.2766649908374382
167,0.8982,0.3135631677659252
168,0.9065,0.3026535193188281
169,0.9167,0.27328025552007973
170,0.8809,0.36588117659469194
171,0.8366,0.4965547404334515
172,0.8879,0.3385712967926188
173,0.8851,0.34593945307822166
174,0.8575,0.41454800642743894
175,0.8951,0.3319545308057266
176,0.8807,0.35336454325838934
177,0.8773,0.3892126632264898
178,0.8739,0.3585969442619553
179,0.9102,0.2786377055594061
180,0.8802,0.3944592114679421
181,0.9175,0.28337806628286083
182,0.9081,0.2806588002963911
183,0.9115,0.2815287193354172
184,0.9102,0.28238006695350515
185,0.9287,0.22608943245833432
186,0.9137,0.29476867526581013
187,0.9068,0.29046071349065516
188,0.9139,0.262979964195173
189,0.9062,0.27970839018308663
190,0.8783,0.3517035061988649
191,0.9067,0.29233324523024923
192,0.8979,0.3158199655104287
193,0.9178,0.259020893091831
194,0.9057,0.2962579853549788
195,0.8905,0.33146310635382614
196,0.8802,0.38807003982836685
197,0.9088,0.2707956171582771
198,0.8819,0.3666191590077515
199,0.889,0.3433471694588661
200,0.8493,0.4546178361471695
