round,accuracy,loss
0,0.0773,2.309270623364026
1,0.0991,2.6910127959673917
2,0.0836,2.909750582296637
3,0.0863,3.4825798046739798
4,0.1879,4.498644288582138
5,0.1153,5.51012104372435
6,0.1074,5.267194530631922
7,0.1496,5.7164116448993925
8,0.2153,5.803768483898308
9,0.2161,6.955209786378885
10,0.1719,7.393117391610447
11,0.1458,7.120685450638397
12,0.1929,9.014926282665398
13,0.2253,7.126933435850505
14,0.1938,8.426324126086657
15,0.1972,7.589609622955322
16,0.1623,9.89157750938512
17,0.2012,6.875317163105253
18,0.1453,11.740659158441085
19,0.2386,8.919357112691372
20,0.2254,9.872429974471466
21,0.1839,10.709490896780279
22,0.214,12.830894132203694
23,0.2511,10.86914739729483
24,0.2312,13.563394148138505
25,0.2636,13.587674901455264
26,0.2044,12.935580072523672
27,0.2458,11.509983823269229
28,0.2377,11.347902491122861
29,0.2125,14.654088020324707
30,0.1917,16.211581206019922
31,0.2474,13.13369504711296
32,0.2325,10.882481671586822
33,0.2383,11.857399107534674
34,0.1993,12.35091657276395
35,0.228,12.143781710274611
36,0.1795,19.426534640638135
37,0.2316,13.28207531458215
38,0.2835,11.588119090357914
39,0.3359,9.841937324668788
40,0.2747,12.704218399675586
41,0.2399,14.63859384271163
42,0.3173,11.349236283121229
43,0.2008,18.205849019786978
44,0.2892,17.079210064079188
45,0.2614,14.960121420365345
46,0.3158,15.468265786955628
47,0.2377,13.416837245603151
48,0.2463,18.07243741916705
49,0.2289,19.51254319541062
50,0.2695,16.182191993616804
51,0.3044,19.41138639329355
52,0.1913,22.080050239080116
53,0.3077,14.68979188460338
54,0.3104,15.792877981934366
55,0.2335,16.070818056034135
56,0.3255,18.99923779692831
57,0.3518,16.0017332728905
58,0.3101,21.388782766800894
59,0.3514,19.377833064598374
60,0.2922,18.31697952898243
61,0.2949,16.39495558074758
62,0.3308,12.897692131090768
63,0.3401,16.130666310274147
64,0.3603,14.407847476910941
65,0.4016,14.442623005637639
66,0.3319,18.40364022798176
67,0.3639,14.989576798451099
68,0.4026,15.418354601799686
69,0.3923,16.585113308097743
70,0.3108,16.621987777420237
71,0.3821,13.868977498404588
72,0.3903,13.122004466720774
73,0.4241,11.059018642087526
74,0.3579,14.77908441688441
75,0.3549,14.986456001861185
76,0.3118,16.10113856158679
77,0.274,15.531565883491613
78,0.2917,13.189737790747534
79,0.2423,15.186435687391064
80,0.2413,21.27535955211784
81,0.2422,16.183961554418637
82,0.2161,19.233387403850315
83,0.274,15.066610964038704
84,0.3246,14.924041059952748
85,0.3257,19.064871256864524
86,0.2894,21.854415446897097
87,0.3011,16.016667559177062
88,0.2797,19.042768454249902
89,0.2737,17.969888626774654
90,0.3146,14.430851405179954
91,0.3003,15.848791231082965
92,0.2727,16.403683312331573
93,0.2841,19.093706807003745
94,0.2635,18.928551046154166
95,0.2461,26.44747468489635
96,0.2379,22.356603694867484
97,0.186,25.923229603827753
98,0.2826,18.23438223102425
99,0.3086,21.83240892917295
100,0.2822,29.30647391307203
101,0.2688,22.354450781134112
102,0.3107,21.61628016942664
103,0.3021,19.61953977995281
