round,accuracy,loss
0,0.1001,2.3082561040226417
1,0.8782,0.4840152603161486
2,0.914,0.2994854003190994
3,0.9297,0.2403468434003335
4,0.9406,0.1969903862999776
5,0.9498,0.16414352294199075
6,0.956,0.14388532614146796
7,0.9617,0.12525212859935303
8,0.965,0.11235785573614832
9,0.9666,0.10462568961437556
10,0.9703,0.09531974690211818
11,0.9719,0.08841886732408989
12,0.973,0.08237290296621055
13,0.9746,0.07854488105188961
14,0.9756,0.07584387830552893
15,0.9765,0.07041759146495333
16,0.9788,0.06674688427909455
17,0.9793,0.06550964993230197
18,0.9808,0.06161906758597403
19,0.981,0.058991285164757996
20,0.9812,0.058022941778048495
21,0.9808,0.05640856274462576
22,0.9818,0.05365046829315303
23,0.9825,0.052282430207256606
24,0.9823,0.05067738406566455
25,0.9817,0.051867914783968766
26,0.9831,0.04902881541756524
27,0.9843,0.04756391589615282
28,0.9834,0.04661772497583334
29,0.9843,0.046213861715116336
30,0.9845,0.04442732031361341
31,0.9851,0.04341801731328515
32,0.9846,0.04370794435476743
33,0.985,0.04386302093769677
34,0.9847,0.04244108588189399
35,0.9854,0.04188877729628282
36,0.9859,0.041808591200306985
37,0.9862,0.041225998952713665
38,0.9863,0.039355735231339756
39,0.9861,0.03977503534737986
40,0.987,0.03896172648561747
41,0.9861,0.04034558534964807
42,0.9869,0.038497249523613934
43,0.9865,0.03799373233621598
44,0.9869,0.038483794787795504
45,0.9873,0.03764208236560403
46,0.9873,0.037555950495401176
47,0.9872,0.037006279651835984
48,0.9869,0.03742020326586222
49,0.9873,0.03689126723134283
50,0.9871,0.0369767175168219
51,0.9873,0.03687166567489172
52,0.9876,0.03579754183526428
53,0.9873,0.036001066797924273
54,0.9879,0.03605257109716782
55,0.9874,0.034872412805915576
56,0.9877,0.036115420972755254
57,0.9875,0.03531398169581758
58,0.9879,0.03528343733585966
59,0.9877,0.034623021414494984
60,0.9877,0.03547992049641811
61,0.9878,0.03484500095606863
62,0.9877,0.03633888889628365
63,0.9877,0.03457674385724284
64,0.9875,0.035049469221674005
65,0.988,0.034181409370427865
66,0.9878,0.03414707378806846
67,0.9881,0.03470367914918756
68,0.9884,0.03429673155744838
69,0.9881,0.03467294018577653
70,0.9883,0.03384595900759082
71,0.9886,0.03375824550254682
72,0.9889,0.03354409803128713
73,0.9883,0.03402399844070473
74,0.9888,0.034558758866653445
75,0.9884,0.03355708534892776
76,0.9884,0.033918963895798064
77,0.9879,0.0341581634819232
78,0.9883,0.03331408339704179
79,0.9889,0.03403177213050772
80,0.9881,0.03421627911274864
81,0.9895,0.03443848032417653
82,0.9888,0.0336343525881073
83,0.9887,0.0334431813696224
84,0.9886,0.03427881943725534
85,0.9888,0.033951846556203834
86,0.9887,0.03364706696454591
87,0.9883,0.034331489498601764
88,0.9889,0.03362399717445465
89,0.9889,0.034060145326972664
90,0.9889,0.033893926570364115
91,0.9895,0.03329614208517721
92,0.9892,0.03362411183818178
93,0.9892,0.03396579660754549
94,0.9894,0.03383295885334196
95,0.9888,0.03376498710681114
96,0.9887,0.03357334197890056
97,0.9894,0.03415754617497764
98,0.9885,0.03381814269216446
99,0.9892,0.03382594490377886
100,0.9893,0.034092404004546044
101,0.9896,0.034086734010733255
102,0.9892,0.03361948791570273
103,0.9895,0.03369657978941799
104,0.9898,0.0339021965508874
105,0.9893,0.033526597849174056
106,0.9895,0.03351000269518823
107,0.9893,0.033633737452896925
108,0.9897,0.03365647532745576
109,0.9893,0.03349464487131673
110,0.9896,0.033483681215444976
111,0.9892,0.03374753342745574
112,0.9893,0.03327130037865296
113,0.9896,0.0337723932092374
114,0.99,0.03370600751684004
115,0.9893,0.03399677471903096
116,0.9897,0.034265885730044694
117,0.9895,0.033958308582286115
118,0.9897,0.03402739388619449
119,0.9897,0.03401664441157606
120,0.9896,0.03422454745768386
121,0.9898,0.0337539448390872
122,0.9898,0.03431102113759325
123,0.9903,0.0339661460838549
124,0.9898,0.03415985580907925
125,0.9897,0.034417407232456156
126,0.99,0.03429531591240724
127,0.9897,0.03427258061163206
128,0.9901,0.03487908561626544
129,0.99,0.034685499803091734
130,0.9896,0.03426967299839494
131,0.9901,0.03442940254038874
132,0.9899,0.034195416826254516
133,0.9899,0.0345084688821679
134,0.9899,0.03425493286055849
135,0.9902,0.03496943592388768
136,0.9895,0.03504029843021801
137,0.9902,0.03519218740098328
138,0.9901,0.03498905792266554
139,0.9896,0.03496366335923971
140,0.9897,0.03482312896527576
141,0.9901,0.03521905641104862
142,0.9897,0.03535462701740724
143,0.9899,0.035286594902730985
144,0.9898,0.03480040778046564
145,0.9896,0.035178307472324956
146,0.99,0.03560892480336579
147,0.9896,0.03581291434461146
148,0.9899,0.035821413847528835
149,0.9901,0.03548222552174743
150,0.9901,0.035233821994762375
151,0.9899,0.03536471457642861
152,0.9898,0.0355733455334953
153,0.9899,0.03575035572953599
154,0.99,0.03557715738367843
155,0.9899,0.035606870622345174
156,0.9903,0.03575538752107616
157,0.9902,0.03594127621762928
158,0.9901,0.03557595502046366
159,0.9899,0.036171302794463935
160,0.9899,0.03628861944265955
161,0.9894,0.03606113317176217
162,0.9895,0.0364170810241845
163,0.9897,0.036384252237662854
164,0.9902,0.03639847686256963
165,0.9899,0.03656566058307679
166,0.99,0.036362031380035714
167,0.9897,0.03691056993058789
168,0.9893,0.03694069371382612
169,0.9899,0.03691096364191483
170,0.9898,0.03700329989834688
171,0.9901,0.036884829947151546
172,0.9896,0.037000206691104695
173,0.9902,0.036845154013017495
174,0.9902,0.03674883389001053
175,0.9902,0.037053458708948675
176,0.9897,0.03718682947272869
177,0.9901,0.03669263669297175
178,0.9901,0.03691524512824551
179,0.9898,0.037535853031932194
180,0.9899,0.03716383543148232
181,0.9901,0.03706675147852633
182,0.9899,0.03741290737660545
183,0.99,0.03705169511245953
184,0.9899,0.0373051436758201
185,0.9902,0.03812797035046483
186,0.9901,0.037844137279761714
187,0.9899,0.038090070391069444
188,0.9901,0.038378533701878104
189,0.9898,0.03820667413452047
190,0.9901,0.03810179979234219
191,0.9896,0.03814884875563926
192,0.9901,0.038130252649164253
193,0.9897,0.038293321259167255
194,0.9905,0.03812952472948529
195,0.9899,0.03837173451039375
196,0.9898,0.03866968609433327
197,0.99,0.03800775355501222
198,0.9903,0.03857376100429692
199,0.99,0.03863419961758701
200,0.9901,0.03879768652318655
