round,accuracy,loss
0,0.1222,2.311700039272067
1,0.1028,12.94809409032894
2,0.1135,153.80502879468702
3,0.101,105.34274079528036
4,0.0896,2.903739144530477
5,0.0978,3.2867405867274804
6,0.101,23.452828974663458
7,0.1032,36.459207583077344
8,0.098,19.800798633430578
9,0.0957,2.5939234329175345
10,0.0958,23.146489469310904
11,0.1135,17.762465996078298
12,0.0982,9.502816320974615
13,0.192,2.2780318924143343
14,0.1466,2.553649863110313
15,0.1948,5.354704881016212
16,0.2206,6.851991822447958
17,0.3355,5.327585673030419
18,0.2868,3.362886096857771
19,0.2428,2.177090204214748
20,0.283,2.1683437718620784
21,0.3097,3.379957093468195
22,0.3626,4.095490232298646
23,0.4211,2.9100992498518545
24,0.4655,2.4479137402546556
25,0.4416,2.0519982304754136
26,0.3499,2.061470636838599
27,0.4306,1.6857000634640078
28,0.4994,1.5759896492656273
29,0.4834,1.6981635214407234
30,0.5229,1.5539448864852325
31,0.5692,1.463633522202697
32,0.6031,1.3566711831696425
33,0.5379,1.6255132057998753
34,0.4265,2.5334491669377193
35,0.569,1.5027213798293584
36,0.5965,1.4757524140273468
37,0.5282,1.7702516634253007
38,0.5755,1.4261511903774888
39,0.5673,1.7640801041941099
40,0.6001,1.4726440589639205
41,0.5472,1.2450328288199026
42,0.5185,1.5198559496976152
43,0.6339,1.0625200739389733
44,0.6081,1.1177422177942493
45,0.6485,1.0502004389521442
46,0.5931,1.1248924815202062
47,0.6786,0.9398518076425866
48,0.6999,0.857747871664506
49,0.6918,0.8984704591050933
50,0.6622,1.011041894743714
51,0.6797,0.9505954475342473
52,0.6932,0.9242533324640009
53,0.7052,0.9286707496341271
54,0.7125,0.9285731183577187
55,0.7445,0.7997454785847966
56,0.7332,0.7816264501100854
57,0.7311,0.8108640298058715
58,0.7587,0.7141635874404183
59,0.7761,0.6933942757829835
60,0.7646,0.7200983645795267
61,0.7902,0.6625865160287181
62,0.7869,0.6386101558993135
63,0.7995,0.616155640799788
64,0.7613,0.6879744314694707
65,0.7834,0.6402815999109533
66,0.8054,0.5830406290066393
67,0.7949,0.6271439909557753
68,0.8102,0.599959145995635
69,0.8097,0.5767813622951508
70,0.7729,0.637616807524162
71,0.798,0.5951001378177088
72,0.8253,0.5394259215910223
73,0.8149,0.5707696615895138
74,0.8014,0.6146809288972541
75,0.8027,0.5907443471347229
76,0.8095,0.5690784067670002
77,0.8045,0.5891840776687935
78,0.8039,0.5698783373153662
79,0.8166,0.5541640325814863
80,0.8207,0.553583054225656
81,0.7903,0.5937796833017205
82,0.7842,0.6342637474778332
83,0.8254,0.5205140360925771
84,0.7829,0.6066165159020243
85,0.7787,0.6566360219369961
86,0.8019,0.5696278389873384
87,0.8134,0.5662149671889558
88,0.8206,0.5591148947235904
89,0.8368,0.492689173998712
90,0.8213,0.5135400808310207
91,0.8384,0.4870272820131688
92,0.8343,0.5145793281778505
93,0.8438,0.48820890920071663
94,0.8298,0.4999443500102321
95,0.8364,0.4915877493876445
96,0.8307,0.508959319395355
97,0.8391,0.4979935856182364
98,0.8318,0.5123804960447021
99,0.8183,0.5233616478080991
100,0.8075,0.5599898379060286
101,0.8368,0.5098431715859643
102,0.8239,0.5549307605133781
103,0.8242,0.5345709369152407
104,0.8059,0.5792598215085042
105,0.8297,0.5154701012976562
106,0.8114,0.5796742867442626
107,0.7778,0.6474424408206457
108,0.7813,0.6455201253860812
109,0.7742,0.6165374713607982
110,0.8107,0.5825972858863541
111,0.7906,0.63051273852964
112,0.8181,0.5162027959204927
113,0.7948,0.5775172191707394
114,0.825,0.5623640591585184
115,0.8245,0.5747603242155872
116,0.835,0.49386603885059116
117,0.7808,0.6163993749437453
118,0.828,0.5095767720213419
119,0.8359,0.527515369502804
120,0.8341,0.52191145661511
121,0.7698,0.6340372083307821
122,0.8259,0.5017105456017241
123,0.8128,0.5562030209016197
124,0.8448,0.4885642854850503
125,0.8406,0.47208112761189663
126,0.8153,0.5275496133143389
127,0.8289,0.49586096462569657
128,0.8524,0.44215100871611246
129,0.8419,0.48031183115289183
130,0.8459,0.4762322327381448
131,0.8415,0.4759973181953913
132,0.8173,0.5245884507894516
133,0.8613,0.41980204203083543
134,0.8374,0.4908988964331301
135,0.8328,0.5032170912887477
136,0.8385,0.477799285250374
137,0.7942,0.5773330493063866
138,0.8524,0.4553431397940539
139,0.8343,0.5057660205454766
140,0.8072,0.5545870865447612
141,0.8037,0.5662119081125984
142,0.8522,0.44202951030640664
143,0.8262,0.5265854178350183
144,0.8658,0.4178106988532634
145,0.8424,0.46135409289523016
146,0.8536,0.43041720146997065
147,0.8551,0.4472282891032062
148,0.8615,0.4353498614664319
149,0.8343,0.49808832776697376
150,0.8516,0.4381330538588234
151,0.832,0.486779947824116
152,0.8507,0.4444901269825199
153,0.8495,0.4748611991541295
154,0.8659,0.416539372711242
155,0.8549,0.4308354915885986
156,0.8575,0.4288097704890408
157,0.8438,0.49001604035685337
158,0.8489,0.44745070138309573
159,0.849,0.46044761546050444
160,0.8549,0.4275853289644929
161,0.8238,0.5258985655971721
162,0.8474,0.4678524408159377
163,0.8413,0.48407821036592313
164,0.8617,0.40969457298139983
165,0.8448,0.4552438643914235
166,0.8507,0.4636001490716693
167,0.8592,0.4326984612624856
168,0.8385,0.4678984318352953
169,0.8635,0.4139676528829562
170,0.8429,0.4662701246104663
171,0.8493,0.4486244898053664
172,0.8375,0.4558654727437828
173,0.8651,0.41074571701921997
174,0.8684,0.41441154168753686
175,0.8495,0.43809989905810054
176,0.8596,0.4076734777492813
177,0.86,0.4123232843755167
178,0.8645,0.4107169384443307
179,0.8799,0.37385221608454666
180,0.8592,0.41144211194183256
181,0.861,0.4181311941599544
182,0.8639,0.4184039956595324
183,0.8635,0.41245997036936916
184,0.8212,0.5033586577901358
185,0.8362,0.48240659187866164
186,0.8168,0.5416439290665374
187,0.8295,0.5053933117585846
188,0.8339,0.4780872122773641
189,0.8579,0.4339989469964293
190,0.8405,0.4944953184716309
