round,accuracy,loss
0,0.1,2.302585092994046
1,0.0892,2.3033084869384766
2,0.1028,2.303260564804077
3,0.1032,2.303159713745117
4,0.1135,2.3024566173553467
5,0.0974,2.302617073059082
6,0.0958,2.3028366565704346
7,0.101,2.3027355670928955
8,0.1009,2.3026092052459717
9,0.0982,2.302605390548706
10,0.098,2.3025832176208496
11,0.0892,2.3032994270324707
12,0.1028,2.303246021270752
13,0.1032,2.3031411170959473
14,0.1135,2.3024356365203857
15,0.0974,2.3025951385498047
16,0.0958,2.3028156757354736
17,0.101,2.3027172088623047
18,0.1009,2.3025951385498047
19,0.0982,2.3025970458984375
20,0.098,2.3025825023651123
21,0.0892,2.3032917976379395
22,0.1028,2.3032331466674805
23,0.1032,2.303123712539673
24,0.1135,2.3024168014526367
25,0.0974,2.3025753498077393
26,0.0958,2.3027966022491455
27,0.101,2.3027002811431885
28,0.1009,2.302582263946533
29,0.0982,2.3025894165039062
30,0.098,2.302582263946533
31,0.0892,2.303285598754883
32,0.1028,2.3032212257385254
33,0.1032,2.303107976913452
34,0.1135,2.302399158477783
35,0.0974,2.3025567531585693
36,0.0958,2.302778959274292
37,0.101,2.302685260772705
38,0.1009,2.3025708198547363
39,0.0982,2.3025832176208496
40,0.098,2.302582025527954
41,0.0892,2.3032796382904053
42,0.1028,2.303210973739624
43,0.1032,2.3030941486358643
44,0.1135,2.3023836612701416
45,0.0974,2.3025403022766113
46,0.0958,2.302762985229492
47,0.101,2.302671194076538
48,0.1009,2.302560567855835
49,0.0982,2.3025777339935303
50,0.098,2.3025832176208496
51,0.0892,2.303274631500244
52,0.1028,2.303201198577881
53,0.1032,2.3030805587768555
54,0.1135,2.302368640899658
55,0.0974,2.3025243282318115
56,0.0958,2.302747964859009
57,0.101,2.3026583194732666
58,0.1009,2.30255126953125
59,0.0982,2.302572727203369
60,0.098,2.302583932876587
61,0.0892,2.303269624710083
62,0.1028,2.303191900253296
63,0.1032,2.3030686378479004
64,0.1135,2.302354574203491
65,0.0974,2.3025102615356445
66,0.0958,2.302733898162842
67,0.101,2.3026463985443115
68,0.1009,2.302542209625244
69,0.0982,2.302567958831787
70,0.098,2.302584648132324
71,0.0892,2.303265333175659
72,0.1028,2.3031833171844482
73,0.1032,2.3030569553375244
74,0.1135,2.3023416996002197
75,0.0974,2.3024964332580566
76,0.0958,2.3027212619781494
77,0.101,2.302635669708252
78,0.1009,2.302534341812134
79,0.0982,2.3025643825531006
80,0.098,2.302586317062378
81,0.0892,2.3032617568969727
82,0.1028,2.3031764030456543
