group,strategy,iid_final_acc,label_final_acc,delta_label_minus_iid
Basic & Classic Strategies,FedAvg,96.0,50.41,-45.59
Basic & Classic Strategies,FedProx,96.63000000000001,37.830000000000005,-58.800000000000004
Basic & Classic Strategies,FedAvgM,97.5,31.16,-66.34
Adaptive Optimization Strategies,FedAdagrad,95.75,63.79,-31.96
Adaptive Optimization Strategies,FedYogi,97.77,51.92,-45.849999999999994
Adaptive Optimization Strategies,FedAdam,98.28,15.98,-82.3
Robustness & Byzantine Fault Tolerance,Bulyan,96.5,46.54,-49.96
Robustness & Byzantine Fault Tolerance,Krum,95.30999999999999,9.8,-85.50999999999999
Robustness & Byzantine Fault Tolerance,MultiKrum,95.39,9.58,-85.81
Statistical Robustness Strategies,FedTrimmedAvg,95.96000000000001,35.0,-60.96000000000001
Statistical Robustness Strategies,FedMedian,95.52000000000001,10.280000000000001,-85.24000000000001
Differential Privacy Strategies,DifferentialPrivacyClientSideAdaptiveClipping,76.32,22.52,-53.8
Differential Privacy Strategies,DifferentialPrivacyClientSideFixedClipping,78.31,24.43,-53.88
Differential Privacy Strategies,DifferentialPrivacyServerSideFixedClipping,77.81,23.369999999999997,-54.440000000000005
Differential Privacy Strategies,DifferentialPrivacyServerSideAdaptiveClipping,80.84,17.52,-63.32000000000001
XGBoost Specific Strategies,FedXgbBagging,80.02,9.8,-70.22
XGBoost Specific Strategies,FedXgbCyclic,94.87,10.280000000000001,-84.59
Fairness & Weighted Optimization,QFedAvg,91.28,10.99,-80.29
