round,accuracy,loss
0,0.1138,2.3073860029631024
1,0.8615,0.524279777007767
2,0.9085,0.3148367640244055
3,0.9258,0.24844527944828135
4,0.9385,0.20221938199917727
5,0.9486,0.17067161611505324
6,0.9555,0.14626191514603135
7,0.9613,0.12751520868343644
8,0.9668,0.11150870799334554
9,0.9692,0.10179158877522414
10,0.9725,0.09223076607147822
11,0.9737,0.0861354994888217
12,0.9754,0.08020474053211982
13,0.9768,0.07570618946146503
14,0.9773,0.0716390602432097
15,0.9792,0.06709027708997313
16,0.98,0.06507510549825014
17,0.9816,0.06083301087632139
18,0.9804,0.05994914609149004
19,0.9815,0.059616354322856696
20,0.9822,0.05500450596372491
21,0.9824,0.053548377201025954
22,0.9836,0.051733968341045225
23,0.9835,0.05055964911279941
24,0.9837,0.04946500024997005
25,0.984,0.04786842626363298
26,0.9844,0.046739217688924854
27,0.9841,0.04626386143934701
28,0.9845,0.04610063671908059
29,0.9855,0.044490233600460866
30,0.9853,0.04436379586769374
31,0.9849,0.04505412304063646
32,0.9856,0.04278039268315239
33,0.9856,0.04220605487868932
34,0.9853,0.042205619623536784
35,0.9857,0.04147293143412039
36,0.9855,0.04097608846753741
37,0.9857,0.0410454693766859
38,0.9862,0.04055620551616236
39,0.9861,0.03944967561670361
40,0.9858,0.03921344659889494
41,0.986,0.03888188382718252
42,0.9862,0.03904169904642084
43,0.9866,0.03852587814875318
44,0.9868,0.03794102723890019
45,0.9864,0.03800858691322936
46,0.9865,0.03842338465656672
47,0.9868,0.03756072036564627
48,0.9866,0.03769332228675691
49,0.9869,0.036445205978337454
50,0.9868,0.03655430948294705
51,0.9871,0.03669263510463783
52,0.9866,0.037003223779202364
53,0.9866,0.03721506981876505
54,0.9865,0.036140550291655686
55,0.9864,0.03574021197369181
56,0.9873,0.03590031525417072
57,0.9867,0.03621552827282841
58,0.9871,0.03560994100636107
59,0.9872,0.03556378620252665
60,0.9872,0.03523723968911453
61,0.9869,0.03509766225107353
62,0.9872,0.03523555477276884
63,0.9876,0.0350668020008568
64,0.9869,0.03444837150016587
65,0.9873,0.03552562529622736
66,0.9875,0.03489029635160409
67,0.9874,0.03474639769235723
68,0.9876,0.034490648130543644
69,0.9877,0.0347289619846229
70,0.9872,0.03449475553654476
71,0.9874,0.03449514149031506
72,0.9873,0.034605718200106786
73,0.9877,0.03440417919225609
74,0.9875,0.03482103110262052
75,0.9877,0.03465729463685512
76,0.9873,0.034600458650062664
77,0.9872,0.03427468416944814
78,0.9875,0.03424461068047831
79,0.9877,0.034128736585777995
80,0.9875,0.034831042989072226
81,0.9877,0.0345546235252808
82,0.9876,0.03406819271498811
83,0.9882,0.0343516104856209
84,0.9879,0.03413027802790693
85,0.9877,0.03391780630703625
86,0.9876,0.03411027200774144
87,0.9878,0.03414724285788377
88,0.9881,0.03411238291268598
89,0.9879,0.034330640457897695
90,0.9878,0.034447799757177974
91,0.988,0.03456622517967821
92,0.9878,0.03498285080999428
93,0.9881,0.03404607776569201
94,0.9881,0.03413298227172198
95,0.9884,0.03423057629885379
96,0.9885,0.03393308566359614
97,0.9881,0.03430311000660299
98,0.9879,0.03453089315762899
99,0.988,0.034436772742589675
100,0.9885,0.03443150236985793
101,0.9884,0.03466146830683274
102,0.9886,0.03412226796581884
103,0.9878,0.0343463682909346
104,0.9887,0.03413641646203141
105,0.9888,0.034259747132775284
106,0.9882,0.034710073431194324
107,0.9885,0.03436793389226042
108,0.9888,0.0345517353419992
109,0.9888,0.034927754766751515
110,0.9885,0.03467712551113598
111,0.9887,0.03470174167888459
112,0.9884,0.03469017093082101
113,0.9884,0.03511915022223732
114,0.9887,0.0355402709285298
115,0.9886,0.03505906162968994
116,0.9884,0.03586904238154257
117,0.9886,0.035343791298767926
118,0.9884,0.035872683188008986
119,0.9889,0.03530194732110419
120,0.9884,0.03533661459983083
121,0.9885,0.03546680142930015
122,0.989,0.03580968367940023
123,0.9886,0.035591705993910976
124,0.9884,0.035675110198323486
125,0.9887,0.03575477943029656
126,0.9887,0.03570140543378548
127,0.9887,0.03554700531826481
128,0.9889,0.035916038134652085
129,0.9888,0.035908646845183294
130,0.9892,0.03632135590163371
131,0.9885,0.036543638406075406
132,0.9888,0.03635035308189235
133,0.9887,0.03661042643257651
134,0.9889,0.03616025732845295
135,0.9887,0.036392473363485243
136,0.9889,0.036726280685124485
137,0.9883,0.03714440381999557
138,0.989,0.0368539693262668
139,0.9886,0.036957896415293665
140,0.989,0.03682944229586622
141,0.9889,0.03641601646922878
142,0.9894,0.036714250595895455
143,0.9891,0.03688643984673657
144,0.9889,0.03695529935609983
145,0.989,0.03709159928238581
146,0.9893,0.03713536695892764
147,0.9891,0.037344764637590386
148,0.9892,0.03716063134403975
149,0.989,0.03740041701712471
150,0.9891,0.03695133104869905
151,0.9893,0.037332538408938624
152,0.9894,0.03716259990002544
153,0.9891,0.037710767290851044
154,0.9892,0.037086779116824675
155,0.9891,0.038065251093511034
156,0.9896,0.03744871187992902
157,0.9893,0.03760430642266985
158,0.9892,0.03782142889196011
159,0.9895,0.03763985091997043
160,0.989,0.03796090277650296
161,0.989,0.037948853765656855
162,0.989,0.03780721720868084
163,0.9891,0.037930080431981913
164,0.9891,0.03859444010991502
165,0.9893,0.038744820315108695
166,0.9893,0.038251801227503004
167,0.9891,0.03861904983112922
168,0.9889,0.038074065940108245
169,0.9895,0.03820148218425016
170,0.9893,0.03832472396498827
171,0.9891,0.0386845084529577
172,0.9892,0.038710877719083756
173,0.9895,0.038670361421830286
174,0.9893,0.038822639651378936
175,0.9895,0.03856308940527314
176,0.9891,0.03893077207227709
177,0.9896,0.038626539535928865
178,0.9894,0.039247306010260725
179,0.9894,0.03884054608242647
180,0.9892,0.03888746498426262
181,0.9895,0.03914487208556503
182,0.9896,0.03925799667257983
183,0.9894,0.03962965703077673
184,0.9892,0.03927980082792031
185,0.9896,0.03947657343639658
186,0.9895,0.03937559956190415
187,0.9894,0.03932165139697132
188,0.9893,0.03962610187248122
189,0.9892,0.03992578279796155
190,0.9892,0.040044116726966984
191,0.9892,0.03954427225623269
192,0.9894,0.03981883101585242
193,0.9894,0.04009501131078846
194,0.989,0.0404144190748538
195,0.9892,0.04044420820118859
196,0.9891,0.04025915232622411
197,0.9891,0.04036719299570225
198,0.9894,0.04005490293140662
199,0.9892,0.039991664350941106
200,0.9894,0.040417887573817445
