round,accuracy,loss
0,0.078,2.308241328106651
1,0.1135,2.3995679632017883
2,0.2137,2.2037826761414734
3,0.3131,2.13933054103127
4,0.4341,2.0602625608444214
5,0.3776,2.0198694075210186
6,0.334,1.9661470002765897
7,0.2859,2.0376437193230736
8,0.2991,2.227278971973854
9,0.3078,2.5157379560832736
10,0.3629,2.6562462607516517
11,0.3631,2.187551490868194
12,0.3909,2.120067179957523
13,0.4366,2.102555863464935
14,0.3517,2.075401342367824
15,0.4785,1.9554561919803861
16,0.4573,1.8631019939350177
17,0.4713,1.9911445635783522
18,0.4696,1.844582848911044
19,0.457,1.9268987148622923
20,0.5227,1.7239214860940282
21,0.4678,1.6760074473634552
22,0.4928,1.753300870521159
23,0.5181,1.572798953780645
24,0.4394,1.6087201848814758
25,0.5481,1.9503643241109727
26,0.5072,2.027464107622074
27,0.5343,2.1976313319387315
28,0.554,1.933706111545804
29,0.5404,1.7148378574395482
30,0.5375,1.6563831447046014
31,0.5631,1.6083678852153729
32,0.5812,1.3376351466661767
33,0.5899,1.38438766213912
34,0.6407,1.3837758536580242
35,0.6584,1.2874049182179608
36,0.6611,1.0078109661235084
37,0.6529,1.2032155002219767
38,0.6795,1.0913738170756568
39,0.6787,1.2002129524568967
40,0.665,1.0633845397188693
41,0.6628,1.273724360556542
42,0.6652,1.093106595775749
43,0.6351,1.238404025759878
44,0.6167,1.1884704669819603
45,0.6502,1.3309996067723142
46,0.6178,1.1036381759221041
47,0.62,1.2519552390786666
48,0.6444,1.0893446244770968
49,0.6756,1.1134959429125242
50,0.7163,0.9130159605153
51,0.7047,0.9223948992505858
52,0.7546,0.8115876328341568
53,0.7333,0.8263118040712574
54,0.7891,0.7305014035369777
55,0.7588,0.749146089900898
56,0.8059,0.6779542284298546
57,0.7538,0.7551028505910801
58,0.7999,0.6654484730355347
59,0.7423,0.7701901589767842
60,0.7694,0.6786431881445872
61,0.7209,0.88471031038067
62,0.7098,0.7628138442582721
63,0.7142,1.0768700694736046
64,0.6966,0.8088003396987915
65,0.7159,1.0463302497622333
66,0.7359,0.8118810800811912
67,0.7242,0.9042147126378892
68,0.7403,0.7363776836214186
69,0.7436,0.8563216705865497
70,0.7684,0.6828037579602833
71,0.7649,0.8719190291211575
72,0.7634,0.7102490478678595
73,0.7645,0.7807342436494706
74,0.7658,0.7292193627055688
75,0.7773,0.8848871539665174
76,0.7642,0.6782044172286987
77,0.7495,0.9066510023195532
78,0.7093,0.7607024772257744
79,0.7195,0.955470898483373
80,0.6803,0.9901404282714747
81,0.7152,0.9694706759875333
82,0.7181,0.8645008651516105
83,0.7199,0.8737283198139335
84,0.7054,0.8249900635284714
85,0.7289,0.8271764577189579
86,0.7333,0.7560903626152232
87,0.7526,0.7497697993169857
88,0.7615,0.6504007487357417
89,0.7712,0.6808288874505442
90,0.7864,0.5946089376377154
91,0.7765,0.7027247295349459
92,0.7874,0.5950248347053045
93,0.7942,0.5981392773646342
94,0.7857,0.6166611083700687
95,0.7779,0.6586890726149837
96,0.7369,0.7552737246585798
97,0.7413,0.8345241784294949
98,0.7431,0.7454813209515584
99,0.7473,0.7962353561497941
100,0.7511,0.7292889603708363
101,0.7677,0.7396119018144245
102,0.8015,0.6155549861207793
103,0.7823,0.67901049309139
104,0.8085,0.5878498952222776
105,0.8113,0.5785661236017565
106,0.8116,0.5845001437996007
107,0.7903,0.6455477278066587
108,0.8168,0.5823456331898894
109,0.8064,0.6050039094082916
110,0.83,0.5381219433266905
111,0.8232,0.5529106402698951
112,0.8407,0.5161028992903384
113,0.8202,0.5501916699017151
114,0.8221,0.5432786156859579
115,0.7979,0.5757252909714663
116,0.8079,0.5867568782613247
117,0.7487,0.7022287841839127
118,0.7718,0.6886015455179577
119,0.7406,0.8269434846654723
120,0.7824,0.6320361908100829
121,0.7434,0.8031269459030296
122,0.7994,0.5811429744279837
123,0.7432,0.8358626244943353
124,0.7753,0.6373103709915017
125,0.7362,0.8271181885200211
126,0.7622,0.7438509667975993
127,0.7349,0.8146307879610907
128,0.7859,0.6487027368968046
129,0.7284,0.793088386707668
130,0.772,0.7034219812743271
131,0.7408,0.7327214856690998
132,0.7952,0.6196997169452377
133,0.7614,0.6856940464128422
134,0.8041,0.6059846845985968
135,0.795,0.5751934936152229
136,0.8107,0.5863085772040524
137,0.792,0.5937805834073054
138,0.824,0.5534593544051617
139,0.8222,0.5175632172370259
140,0.8347,0.5078345424012293
141,0.8197,0.5500312042009982
142,0.8615,0.43456541303592394
143,0.8343,0.5009377115889441
144,0.8672,0.4204130059556116
145,0.8419,0.4767040802708155
146,0.847,0.4711776177717161
147,0.8467,0.4595456864637665
148,0.842,0.4744991816674607
149,0.8181,0.5269626575180247
150,0.82,0.5386860474378248
151,0.8084,0.566524447519568
152,0.7941,0.5890901654581481
153,0.7932,0.6035937827221954
154,0.7833,0.616168285095239
155,0.8006,0.5977541089435167
156,0.8112,0.5208179805474945
157,0.8108,0.5580657094339782
158,0.823,0.504948025640053
159,0.8319,0.5023065522501741
160,0.8259,0.4966261358577994
161,0.8202,0.5432567224849628
162,0.8348,0.4871707741595522
163,0.8422,0.48808891297895696
164,0.8649,0.42708650080463556
165,0.8519,0.4582152009198937
166,0.8736,0.40751168725988535
167,0.8618,0.42351321357337735
168,0.8653,0.42194018871346606
169,0.8412,0.4925310181666024
170,0.8623,0.4308947970784163
171,0.8463,0.4800073836423174
172,0.85,0.4593007573032681
173,0.8172,0.5530911278498324
174,0.8348,0.4911570494310765
175,0.7676,0.6527342505847351
176,0.7768,0.6881518707245211
177,0.7611,0.7289577582968941
178,0.7852,0.6661704190169708
179,0.7652,0.6772030067594745
180,0.8043,0.5994626798584491
181,0.7629,0.7051851440079605
182,0.8129,0.5913942982501621
183,0.7808,0.5927516633196722
184,0.8131,0.564406580562833
185,0.7903,0.5806584861836855
186,0.8345,0.5035544286800336
187,0.7926,0.5680226740203326
188,0.849,0.4612994537323336
189,0.8241,0.48921514085576506
190,0.8597,0.43745432058467143
191,0.852,0.43868312711202645
192,0.8799,0.391495388614226
193,0.8508,0.4356370443784738
194,0.8645,0.42561331297023386
195,0.8535,0.4289874329785757
196,0.8701,0.40264883807188345
197,0.8426,0.4483844857615761
198,0.8702,0.4038282911045642
199,0.8517,0.432072478193271
200,0.8749,0.39392678298150435
