round,accuracy,loss
0,0.0722,2.304794347738918
1,0.1135,391.0629994839053
2,0.0958,41.31558225124697
3,0.1137,3.1707151690615882
4,0.1032,25.895397838157944
5,0.1889,4.922668864455404
6,0.0988,3.265668150744861
7,0.1028,16.480651022512703
8,0.1135,5.92125001738343
9,0.0982,4.977873476245735
10,0.0733,2.424137338807311
11,0.0977,4.839398963541925
12,0.1999,3.0401332921619657
13,0.1533,2.6655101595045645
14,0.177,2.7071707822099516
15,0.2264,2.102289652522606
16,0.2402,2.038872528679763
17,0.2224,2.1282840740831594
18,0.1513,2.4723444437678856
19,0.1727,2.778781715827652
20,0.3237,2.493574097186704
21,0.2356,2.099848730654656
22,0.4224,1.9801846440834334
23,0.39,1.9394436365441432
24,0.428,1.934656499307367
25,0.3365,2.120874216284933
26,0.3492,2.2064946361734896
27,0.3382,2.2331254301191885
28,0.4134,1.8531838459304617
29,0.3898,1.7593365605873397
30,0.4346,1.750428803359406
31,0.4337,1.8372341515142707
32,0.3577,1.8888837129254885
33,0.4157,2.1340264730815646
34,0.4412,1.680188610583921
35,0.5122,1.5953875508489488
36,0.4224,1.6152435314806202
37,0.487,1.8447024082835717
38,0.4838,1.5696408416651473
39,0.5361,1.569462377813798
40,0.4681,1.5297283130356027
41,0.5324,1.6516856754882425
42,0.5027,1.4552248686174802
43,0.5665,1.4744871296460116
44,0.484,1.4240967487987084
45,0.5618,1.5424223745925516
46,0.4935,1.4191113770762576
47,0.5759,1.4609753708296185
48,0.5063,1.3395544833774808
49,0.5747,1.4738211043273346
50,0.5392,1.2889437328411053
51,0.5868,1.341314499891257
52,0.5178,1.332127640518961
53,0.5938,1.3742016523699216
54,0.5458,1.2740416179729412
55,0.5981,1.297707040098649
56,0.5589,1.221784199340434
57,0.6135,1.2356635113305683
58,0.5837,1.1858566923986507
59,0.5942,1.230003461807589
60,0.5733,1.2847736387313167
61,0.6323,1.089852170099186
62,0.6009,1.201936588257174
63,0.6404,1.0576192864888831
64,0.556,1.3085643460478964
65,0.5692,1.2632854339442676
66,0.5529,1.3660218172435519
67,0.5549,1.4123746337769907
68,0.5744,1.243998200833043
69,0.6266,1.09228050482424
70,0.5921,1.1524551352368126
71,0.6402,1.0729232513451878
72,0.6396,1.0623599351206912
73,0.6724,0.9946084867549848
74,0.6548,1.0068164950684657
75,0.6876,0.9460803270339966
76,0.6747,0.9610125377208372
77,0.7122,0.8869865121720713
78,0.6886,0.9179137198230888
79,0.6931,0.9164154740828502
80,0.6775,0.9555790982668912
81,0.7089,0.8915487105333353
82,0.7062,0.9122059911112242
83,0.7146,0.8885888472388063
84,0.7254,0.9338778913775577
85,0.7322,0.8287829858592793
86,0.7579,0.7862646134593819
87,0.731,0.7951704855961136
88,0.7203,0.8966406161272074
89,0.6966,0.8610950708389282
90,0.6908,0.9722352254239819
91,0.6949,0.8417561676683305
92,0.7095,0.8724963461296468
93,0.7009,0.8320020957838131
94,0.7108,0.8718228076077714
95,0.7131,0.8056097124950795
96,0.7264,0.8296396494666233
97,0.7223,0.7865882323512549
98,0.74,0.7795316580730148
99,0.7392,0.7307583436935763
100,0.7462,0.7566131104396868
101,0.7535,0.6950057952464381
102,0.7586,0.7164639023285878
103,0.7527,0.6966527987130081
104,0.7593,0.7107203236863583
105,0.7496,0.7074830128422266
106,0.7671,0.6925354320791703
107,0.7582,0.6945720182943947
108,0.7724,0.6831724651252167
109,0.7553,0.6953527893446669
110,0.778,0.6763757829424701
111,0.7771,0.6531673534007012
112,0.7675,0.7108827859540529
113,0.7707,0.6672496516493303
114,0.792,0.6347023976754539
115,0.782,0.6413282891617546
116,0.7803,0.6577042737339116
117,0.7883,0.6185581272915949
118,0.7767,0.6679783286173132
119,0.7839,0.6303098571451404
120,0.7662,0.698941025930115
121,0.7781,0.6590478718280792
122,0.758,0.736690106648433
123,0.7767,0.6425480487980421
124,0.7838,0.617665663172927
125,0.8026,0.571355019566379
126,0.8105,0.579551587753658
127,0.8265,0.5239961722606346
128,0.8238,0.5423742400694497
129,0.8192,0.5384292566700827
130,0.817,0.5554244833279259
131,0.8361,0.5083317998089368
132,0.8279,0.545760596666155
133,0.834,0.5106669455012188
134,0.8361,0.5262339748913729
135,0.8469,0.493117367730865
136,0.8447,0.5010160243586649
137,0.8363,0.5165869376704663
138,0.8343,0.5312962311355374
139,0.849,0.4798467402593999
140,0.8401,0.5033314177129842
141,0.8414,0.47767890122117873
142,0.841,0.48670834246315536
143,0.8356,0.4824022971376588
144,0.8123,0.5323841496358944
145,0.8269,0.509590103090564
146,0.8004,0.5634264238650286
147,0.7793,0.6192206861097601
148,0.7698,0.6518749741813804
149,0.7957,0.5734132224623161
150,0.801,0.5571559431809413
151,0.8335,0.48772118306612666
152,0.8236,0.4930738259719897
153,0.8535,0.4370111621256116
154,0.867,0.4284190897700153
155,0.8715,0.4060120528823213
156,0.8715,0.41983653510673136
157,0.8684,0.4122397201725199
158,0.8607,0.44523680191251297
159,0.864,0.4206842553766468
160,0.86,0.4343690828809255
