round,accuracy,loss
0,0.1,2.302585092994046
1,0.8108,1.319676160812378
2,0.8067,1.3870874643325806
3,0.8044,1.464837670326233
4,0.803,1.5322916507720947
5,0.8023,1.5907012224197388
6,0.8021,1.6413626670837402
7,0.8016,1.6850366592407227
8,0.8012,1.7224078178405762
9,0.8011,1.7546921968460083
10,0.8009,1.7831180095672607
11,0.8009,1.8091851472854614
12,0.8008,1.831792950630188
13,0.8007,1.8522796630859375
14,0.8006,1.8716590404510498
15,0.8006,1.8893251419067383
16,0.8004,1.9047716856002808
17,0.8003,1.9190449714660645
18,0.8002,1.9318902492523193
19,0.8002,1.943070888519287
20,0.8002,1.9535515308380127
