round,accuracy,loss
0,0.0884,2.315055783790878
1,0.4133,29.34161806710159
2,0.1803,2.2216278329680237
3,0.0986,18.38345753392087
4,0.3154,6.216286767887164
5,0.6098,2.0148112728625915
6,0.2682,4.452696202676507
7,0.7303,0.9992314618599566
8,0.7716,0.8242312684843812
9,0.8045,0.6470625985272324
10,0.8647,0.429911864992184
11,0.8622,0.4236308796496331
12,0.8699,0.4332280061856101
13,0.9104,0.2717979182548161
14,0.9206,0.2553044038388548
15,0.9201,0.24957107271574722
16,0.8963,0.3353973108379147
17,0.9059,0.29508300752768035
18,0.9295,0.22612481312001054
19,0.9397,0.18095522327938035
20,0.9575,0.13714144844561815
