round,accuracy,loss
0,0.1,2.302585092994046
1,0.5702,2.2896628379821777
2,0.6618,2.276536703109741
3,0.6821,2.263796806335449
4,0.6959,2.25127911567688
5,0.7072,2.2385079860687256
6,0.7151,2.226320743560791
7,0.7262,2.214672327041626
8,0.7317,2.2031188011169434
9,0.7363,2.1924169063568115
10,0.7398,2.180935859680176
11,0.7438,2.170032501220703
12,0.747,2.1591320037841797
13,0.7455,2.147693634033203
14,0.7452,2.1370432376861572
15,0.7486,2.1263911724090576
16,0.7482,2.116023063659668
17,0.7514,2.1050631999969482
18,0.7531,2.095123767852783
19,0.7549,2.0851986408233643
20,0.7562,2.0746352672576904
21,0.7575,2.0650136470794678
22,0.7604,2.0553598403930664
23,0.7605,2.0454258918762207
24,0.7625,2.035595417022705
25,0.7618,2.025592803955078
26,0.7637,2.015859842300415
27,0.7652,2.00663161277771
28,0.7673,1.9969234466552734
29,0.769,1.9876905679702759
30,0.7697,1.9783189296722412
31,0.7725,1.969185709953308
32,0.7736,1.9597587585449219
33,0.775,1.9509910345077515
34,0.7754,1.9421184062957764
35,0.777,1.9334582090377808
36,0.7765,1.9245343208312988
37,0.777,1.9164605140686035
38,0.7785,1.9077367782592773
39,0.7772,1.8993384838104248
40,0.7789,1.890756607055664
41,0.7791,1.8824810981750488
42,0.7808,1.8740185499191284
43,0.7822,1.8660011291503906
44,0.7831,1.8577302694320679
45,0.7839,1.8497657775878906
46,0.7848,1.8422558307647705
47,0.7842,1.8343634605407715
48,0.7856,1.8265234231948853
49,0.7865,1.818921446800232
50,0.7862,1.8109791278839111
51,0.7868,1.8034285306930542
52,0.7894,1.7958533763885498
53,0.7895,1.7878546714782715
54,0.7898,1.780457854270935
55,0.7903,1.7728381156921387
56,0.7908,1.7652095556259155
57,0.7919,1.7582064867019653
58,0.7924,1.7511643171310425
59,0.7923,1.7439662218093872
60,0.7922,1.7366007566452026
61,0.7936,1.7295199632644653
62,0.7948,1.7225595712661743
63,0.7955,1.7156202793121338
64,0.7943,1.7086842060089111
65,0.7953,1.7018769979476929
66,0.796,1.6950218677520752
67,0.7981,1.6884777545928955
68,0.7981,1.6816763877868652
69,0.7977,1.6753019094467163
70,0.7978,1.6688694953918457
71,0.7984,1.6620784997940063
72,0.7986,1.6555068492889404
73,0.7991,1.6493473052978516
74,0.7993,1.642914891242981
75,0.7996,1.6367042064666748
76,0.8,1.6305251121520996
77,0.8008,1.6242730617523193
78,0.8013,1.6180185079574585
79,0.8011,1.6118285655975342
80,0.8018,1.606170892715454
81,0.8025,1.5999505519866943
82,0.8035,1.5942245721817017
83,0.8033,1.588181495666504
84,0.8035,1.5825271606445312
85,0.8039,1.5769404172897339
86,0.8045,1.5713251829147339
87,0.8048,1.565585970878601
88,0.8058,1.559736967086792
89,0.8049,1.5539861917495728
90,0.8051,1.5479815006256104
91,0.8064,1.5426801443099976
92,0.8074,1.5372374057769775
93,0.8063,1.5316905975341797
94,0.8063,1.5262237787246704
95,0.8064,1.5209020376205444
96,0.8066,1.5153363943099976
97,0.8077,1.5100504159927368
98,0.8083,1.504867434501648
99,0.8089,1.4993746280670166
100,0.809,1.4939974546432495
101,0.8094,1.4891904592514038
102,0.8096,1.483961582183838
103,0.8089,1.4785884618759155
104,0.8096,1.473528265953064
105,0.8099,1.46824049949646
106,0.8106,1.463167428970337
107,0.8108,1.4582072496414185
108,0.8112,1.4533953666687012
109,0.8115,1.4485172033309937
110,0.8122,1.4436261653900146
111,0.8123,1.438595175743103
112,0.8126,1.4336360692977905
113,0.8123,1.428507924079895
114,0.8121,1.4238877296447754
115,0.8121,1.4191951751708984
116,0.8123,1.4144084453582764
117,0.8122,1.409683346748352
118,0.8124,1.4050252437591553
119,0.8131,1.4003936052322388
120,0.8127,1.3958429098129272
121,0.8132,1.3911890983581543
122,0.8135,1.3865574598312378
123,0.8141,1.3819838762283325
124,0.8145,1.3776804208755493
125,0.8148,1.3730875253677368
126,0.8147,1.3683900833129883
127,0.8148,1.363942265510559
128,0.8154,1.3596433401107788
129,0.8162,1.355411410331726
130,0.8161,1.3509882688522339
131,0.8162,1.3466979265213013
132,0.8163,1.3425476551055908
133,0.8165,1.3383749723434448
134,0.8167,1.3341675996780396
135,0.8168,1.3299798965454102
136,0.8171,1.3258475065231323
137,0.8169,1.3218024969100952
138,0.8171,1.3176323175430298
139,0.818,1.3134251832962036
140,0.8185,1.3092821836471558
141,0.8183,1.3052546977996826
142,0.8187,1.301223874092102
143,0.8189,1.297236680984497
144,0.8182,1.2931740283966064
145,0.819,1.289259433746338
146,0.8191,1.28525972366333
147,0.8189,1.2814157009124756
148,0.8194,1.2774553298950195
149,0.8193,1.273690104484558
150,0.8193,1.2698674201965332
151,0.82,1.266122817993164
152,0.8199,1.2624491453170776
153,0.82,1.258721113204956
154,0.8208,1.2549757957458496
155,0.8208,1.2510488033294678
156,0.8206,1.2473658323287964
157,0.821,1.2437671422958374
158,0.8213,1.2401295900344849
159,0.8217,1.2363743782043457
160,0.8219,1.2327797412872314
161,0.8215,1.229431390762329
162,0.8226,1.2258446216583252
163,0.8222,1.2223560810089111
164,0.8222,1.2189228534698486
165,0.823,1.215477705001831
166,0.8232,1.2118797302246094
167,0.8234,1.2084468603134155
168,0.8235,1.2049753665924072
169,0.8237,1.2016210556030273
170,0.8232,1.1981490850448608
171,0.8236,1.1948941946029663
172,0.8233,1.1914597749710083
173,0.8234,1.1880913972854614
174,0.8236,1.1846266984939575
175,0.8239,1.181359052658081
176,0.8237,1.178115963935852
177,0.824,1.1748348474502563
178,0.8243,1.1715054512023926
179,0.8249,1.1684356927871704
180,0.8245,1.1653461456298828
181,0.8246,1.1621623039245605
182,0.8251,1.1590263843536377
