round,accuracy,loss
0,0.104,2.310810037806064
1,0.098,2.2947356429281114
2,0.1267,2.269498526295529
3,0.2292,2.2330856957013094
4,0.2823,2.1988659327543236
5,0.3638,2.1602006773405438
6,0.4539,2.1153300170657
7,0.5013,2.0716764685473863
8,0.5125,2.0317864252042166
9,0.5543,1.9934868163700346
10,0.5553,1.9592469719391834
11,0.563,1.9268318791932697
12,0.6195,1.8883177826676187
13,0.6224,1.8590197517902036
14,0.6497,1.8285976452163504
15,0.6611,1.8000426488586618
16,0.6683,1.772873796994173
17,0.6827,1.7452500243730182
18,0.6932,1.7221351545068282
19,0.7036,1.7008196628546413
20,0.7117,1.678184121469908
21,0.716,1.660749770417998
22,0.7207,1.6428075244155111
23,0.7268,1.6269368008722234
24,0.7341,1.613166851333425
25,0.7375,1.6007629738578313
26,0.7409,1.5885222395764123
27,0.7395,1.5779445171356201
28,0.7422,1.5680287291732016
29,0.7446,1.5593946674202062
30,0.7498,1.5504876209210745
31,0.7525,1.5418199889267548
32,0.7564,1.534692857838884
33,0.7592,1.5271394977086707
34,0.7604,1.5211439660832853
35,0.7617,1.5161449592324752
36,0.762,1.511552021473269
37,0.7639,1.5068425241904924
38,0.7645,1.502949366086646
39,0.7656,1.4996559574634214
40,0.7669,1.4965205826336825
41,0.7676,1.4934156122086923
42,0.768,1.4906903927839255
43,0.7693,1.4881004396873185
44,0.7696,1.485843907428693
45,0.7702,1.4839137943485115
46,0.7709,1.482185661038266
47,0.7721,1.480714971506143
48,0.772,1.4793321814718126
49,0.7723,1.4776784649378136
50,0.7723,1.4764614422110063
51,0.7729,1.475431839122048
52,0.7731,1.4744053339656396
53,0.7732,1.4735193841065033
54,0.7737,1.4727432773083071
55,0.7739,1.4719018166578268
56,0.7739,1.4713021335722525
57,0.7741,1.4706308479550518
58,0.7742,1.4700399320336837
59,0.7748,1.4694935415364518
60,0.7749,1.4690661083293866
61,0.775,1.4686541149887857
62,0.7751,1.4682359725614138
63,0.7752,1.46787935118132
64,0.7752,1.467583828334567
65,0.7753,1.467309005652802
66,0.7754,1.467102345032028
67,0.7754,1.4668980867047854
68,0.7754,1.4666798416572282
69,0.7754,1.4665119391453416
70,0.7754,1.466348777843427
71,0.7754,1.4661932504629787
72,0.7755,1.4660757448099837
73,0.7756,1.4659340125095994
74,0.7757,1.46581230736986
75,0.7757,1.465710703330704
76,0.7758,1.4656152483783191
77,0.7758,1.465532189683069
78,0.7758,1.4654521730881702
79,0.7758,1.465386208099655
80,0.7758,1.465321048905578
81,0.7759,1.4652725956107997
82,0.7758,1.4652160858806176
83,0.7758,1.465168249757984
84,0.776,1.4651321912113624
85,0.776,1.4651002204870875
86,0.776,1.4650598628611504
87,0.776,1.4650250612934934
88,0.776,1.4649976823903337
89,0.776,1.4649748168414152
90,0.776,1.4649527631228483
91,0.776,1.4649323813522919
92,0.776,1.464915628674664
93,0.776,1.464898177340061
94,0.776,1.4648831464067291
95,0.776,1.4648697346071653
96,0.776,1.4648558897308157
97,0.776,1.4648445965368537
98,0.776,1.464833344085307
99,0.776,1.4648251729675485
