round,accuracy,loss
0,0.1054,2.2982566779172875
1,0.1032,6.692040014870559
2,0.116,42.224024929577794
3,0.1486,71.61147250404841
4,0.101,24.164509809469873
5,0.1094,2.355666100224362
6,0.0958,6.167493289030051
7,0.098,5.583899510057667
8,0.1028,4.392190386977377
9,0.1032,4.966915667811526
10,0.1135,3.442458300650874
11,0.101,3.1308244723307936
12,0.0959,3.3913660954825486
13,0.098,2.827354956276809
14,0.1765,2.854113343395764
15,0.1131,2.868104451819311
16,0.1019,3.4269449620307246
17,0.196,3.48525917379162
18,0.238,2.7778568086744864
19,0.2366,2.2265321484094933
20,0.2164,2.7396853151200693
21,0.175,2.6183041258703303
22,0.3199,2.332163336910779
23,0.2925,2.680705311932141
24,0.3357,1.973228766948362
25,0.4915,1.5404530492009996
26,0.3633,1.8309788598289973
27,0.3546,2.1622333979304833
28,0.3909,2.1920055950744244
29,0.5863,1.149729648722878
30,0.584,1.572361561316478
31,0.5064,1.6133066083811507
32,0.5107,1.6128341366973105
33,0.5867,1.2183435280111772
34,0.596,1.1154666278935685
35,0.7017,0.9104814831214615
36,0.6036,1.2011175872404365
37,0.6361,1.0758964917327785
38,0.6984,0.8778280238561993
39,0.7599,0.7290716095815731
40,0.7206,0.8890026754970792
41,0.687,0.9807979596566551
42,0.7315,0.8090718633766416
43,0.7707,0.6978810544632659
44,0.7211,0.817025298559213
45,0.7452,0.752289006604424
46,0.7481,0.7439333053329323
47,0.7636,0.7206048965454102
48,0.7833,0.6475750438020199
49,0.7393,0.7489008277277404
50,0.7886,0.6417981491813177
51,0.7721,0.7422918417031252
52,0.808,0.6040717395423334
53,0.7964,0.6260962063753153
54,0.8082,0.5853764278979241
55,0.8173,0.5733043133646627
56,0.8505,0.4846288410923149
57,0.8208,0.5649772356205349
58,0.8219,0.5498090126091921
59,0.8427,0.4957864459934114
60,0.8446,0.4863640985722783
61,0.85,0.4747096134137504
62,0.847,0.47188055713342714
63,0.8456,0.4789241485391991
64,0.868,0.4220180643510215
65,0.8364,0.5123319267472134
66,0.8463,0.47939996477923813
67,0.8229,0.5603048426063755
68,0.8081,0.5563673150690296
69,0.8456,0.487615065295485
70,0.8203,0.5388377286210845
71,0.8173,0.5284050818108306
72,0.7703,0.7128230359735368
73,0.7821,0.6257067479287521
74,0.728,0.9035129177419445
75,0.805,0.6746997403193123
76,0.7613,1.0229334967045844
77,0.7965,0.7069901989985116
78,0.8587,0.42228330822685095
79,0.7795,0.6831051337568066
80,0.8743,0.3952470158191421
81,0.8446,0.5002383376601376
82,0.843,0.5171253420884097
83,0.8527,0.44181889936893803
84,0.8897,0.34554901483315453
85,0.8391,0.4756978411651865
86,0.8826,0.3517178228195709
87,0.8662,0.40615560472766055
88,0.8643,0.4218140896173972
89,0.8536,0.42925576563877393
90,0.889,0.33763984166368655
91,0.8689,0.4002274479481238
92,0.8909,0.3410886320745266
93,0.8928,0.32226657329858105
94,0.8681,0.41194131508280957
95,0.9078,0.281815325912041
96,0.8795,0.3813321382703283
97,0.9132,0.26992888857103603
98,0.8905,0.34237716064045703
99,0.8755,0.3689314793748192
100,0.9106,0.27305855038516885
101,0.8622,0.4094575922700423
102,0.8984,0.31994393050576314
103,0.8454,0.46289366728897335
104,0.8586,0.447871328343319
105,0.9056,0.2991818988672163
106,0.8714,0.4041611418316636
107,0.9035,0.3003412757681895
108,0.8954,0.3225550974094415
109,0.8838,0.3409782235003725
110,0.9205,0.24029309597290768
111,0.8924,0.31390573706807967
112,0.9192,0.2491107750212467
113,0.8933,0.3388353239367657
114,0.9146,0.25762402261548406
115,0.9034,0.28916051837651036
116,0.9185,0.24241611908508254
117,0.9192,0.24889012140846706
118,0.9265,0.2228914451066263
119,0.9178,0.24769400847674924
120,0.9333,0.20678387155544153
121,0.911,0.2782920119411583
122,0.934,0.20329192195889317
123,0.9222,0.23586470181051689
124,0.9244,0.2309585833992762
125,0.92,0.25323311627335565
126,0.9205,0.22828521914308583
127,0.9335,0.20724237731457512
128,0.9262,0.22619336388439318
129,0.9329,0.19496815510188478
130,0.9181,0.24145378997620148
131,0.9421,0.18151131899485104
132,0.9331,0.21062329673220084
133,0.9319,0.20223724427102488
134,0.9275,0.215097174354935
135,0.9286,0.21898843989342073
136,0.9355,0.19453785276111168
137,0.933,0.19737660903719406
138,0.908,0.2722502547917487
139,0.9244,0.22554252525390703
140,0.8733,0.3663084375424476
141,0.8875,0.3479198982255368
142,0.9173,0.2420861218596184
143,0.8864,0.32801425607898566
144,0.9019,0.30426501779805254
145,0.912,0.2707809426503468
146,0.9017,0.287431771336477
147,0.9261,0.23135388208718238
148,0.9213,0.24728623725756815
149,0.9217,0.25237436887301223
150,0.9213,0.23166522291736513
151,0.9072,0.2901335967869698
152,0.9142,0.2783807440177549
153,0.9263,0.22301815645887127
154,0.9286,0.22274037327947496
155,0.9218,0.2297195746693053
156,0.934,0.21221080356383626
157,0.9261,0.24255652994483332
158,0.9271,0.22236236222559894
159,0.9385,0.18424244285148533
160,0.9276,0.2175141082887974
161,0.9384,0.18613302575636514
162,0.9331,0.20988680195959308
163,0.9308,0.209215734814164
164,0.9364,0.19145348292032752
165,0.9374,0.19099295562534016
166,0.931,0.2103655940228248
167,0.9426,0.17905813898844056
168,0.9368,0.18795675496700442
169,0.9477,0.16417233872262738
170,0.9345,0.20205993672149092
171,0.9448,0.1678758230932717
172,0.9368,0.19962769834018207
173,0.9453,0.16482139708875101
174,0.9372,0.19034285206772103
175,0.942,0.17780322088753875
176,0.9453,0.16791292690212214
177,0.9402,0.17478747424209798
178,0.9454,0.1693195760533025
179,0.935,0.19389995357281045
180,0.9439,0.17828732240897946
181,0.936,0.19489028389695323
182,0.9463,0.166195516144456
183,0.9226,0.23047820183955417
184,0.9246,0.22862412700358825
185,0.929,0.21503984909268875
186,0.9155,0.25505795386395874
187,0.9085,0.28970870276606536
188,0.9267,0.2155586143224677
