group,strategy,iid_final_acc,label_final_acc,delta_label_minus_iid
Adaptive Optimization Strategies,FedAdam,98.82,94.66,-4.159999999999997
Adaptive Optimization Strategies,FedAdagrad,99.0,90.63,-8.370000000000005
Basic & Classic Strategies,FedAvg,98.89,86.42999999999999,-12.460000000000008
Basic & Classic Strategies,FedAvgM,98.94,84.93,-14.009999999999991
Adaptive Optimization Strategies,FedYogi,98.61,83.55,-15.060000000000002
Basic & Classic Strategies,FedProx,98.98,81.95,-17.03
Robustness & Byzantine Fault Tolerance,Bulyan,98.92999999999999,81.58999999999999,-17.340000000000003
XGBoost Specific Strategies,FedXgbBagging,50.71,10.09,-40.620000000000005
Differential Privacy Strategies,DifferentialPrivacyClientSideFixedClipping,75.61,28.29,-47.32
Fairness & Weighted Optimization,QFedAvg,98.5,33.33,-65.17
Differential Privacy Strategies,DifferentialPrivacyServerSideFixedClipping,83.74000000000001,14.66,-69.08000000000001
XGBoost Specific Strategies,FedXgbCyclic,82.78999999999999,9.8,-72.99
Statistical Robustness Strategies,FedTrimmedAvg,99.00999999999999,22.759999999999998,-76.25
Statistical Robustness Strategies,FedMedian,98.94,18.2,-80.74
Robustness & Byzantine Fault Tolerance,MultiKrum,98.02,9.74,-88.28
Robustness & Byzantine Fault Tolerance,Krum,98.14,9.8,-88.34
Differential Privacy Strategies,DifferentialPrivacyClientSideAdaptiveClipping,77.60000000000001,,
Differential Privacy Strategies,DifferentialPrivacyServerSideAdaptiveClipping,84.27,,
