group,strategy,iid_best_acc,iid_final_acc,iid_best_vs_final_delta,label_best_acc,label_final_acc,label_best_vs_final_delta,iid_vs_label_final_delta
Statistical Robustness Strategies,FedTrimmedAvg,99.05000000000001,99.00999999999999,0.040000000000020464,62.07,22.759999999999998,39.31,-76.25
Differential Privacy Strategies,DifferentialPrivacyServerSideFixedClipping,90.32,83.74000000000001,6.579999999999984,36.35,14.66,21.69,-69.08000000000001
Statistical Robustness Strategies,FedMedian,98.96000000000001,98.94,0.020000000000010232,39.15,18.2,20.95,-80.74
Differential Privacy Strategies,DifferentialPrivacyClientSideFixedClipping,88.78,75.61,13.170000000000002,42.51,28.29,14.219999999999999,-47.32
Basic & Classic Strategies,FedAvgM,99.00999999999999,98.94,0.06999999999999318,92.86999999999999,84.93,7.9399999999999835,-14.009999999999991
Robustness & Byzantine Fault Tolerance,Bulyan,99.0,98.92999999999999,0.07000000000000739,88.52,81.58999999999999,6.930000000000007,-17.340000000000003
Adaptive Optimization Strategies,FedYogi,98.68,98.61,0.07000000000000739,87.99,83.55,4.439999999999998,-15.060000000000002
Basic & Classic Strategies,FedProx,99.05000000000001,98.98,0.07000000000000739,84.96000000000001,81.95,3.010000000000005,-17.03
Basic & Classic Strategies,FedAvg,98.99,98.89,0.09999999999999432,88.21,86.42999999999999,1.7800000000000011,-12.460000000000008
XGBoost Specific Strategies,FedXgbCyclic,82.78999999999999,82.78999999999999,0.0,11.35,9.8,1.549999999999999,-72.99
Robustness & Byzantine Fault Tolerance,Krum,98.17,98.14,0.030000000000001137,10.530000000000001,9.8,0.7300000000000004,-88.34
Adaptive Optimization Strategies,FedAdam,98.88,98.82,0.060000000000002274,95.05,94.66,0.39000000000000057,-4.159999999999997
Adaptive Optimization Strategies,FedAdagrad,99.03999999999999,99.0,0.03999999999999204,90.63,90.63,0.0,-8.370000000000005
Robustness & Byzantine Fault Tolerance,MultiKrum,98.18,98.02,0.1600000000000108,9.74,9.74,0.0,-88.28
XGBoost Specific Strategies,FedXgbBagging,53.839999999999996,50.71,3.1299999999999955,10.09,10.09,0.0,-40.620000000000005
Fairness & Weighted Optimization,QFedAvg,98.5,98.5,0.0,33.33,33.33,0.0,-65.17
Differential Privacy Strategies,DifferentialPrivacyClientSideAdaptiveClipping,77.60000000000001,77.60000000000001,0.0,,,,
Differential Privacy Strategies,DifferentialPrivacyServerSideAdaptiveClipping,84.27,84.27,0.0,,,,
