round,accuracy,loss
0,0.1,2.302585092994046
1,0.098,2.304222345352173
2,0.098,2.304222345352173
3,0.098,2.3042213916778564
4,0.098,2.3042218685150146
5,0.098,2.3042213916778564
6,0.098,2.3042209148406982
7,0.098,2.30422043800354
8,0.098,2.304220199584961
9,0.098,2.304219961166382
10,0.098,2.3042194843292236
11,0.098,2.3042194843292236
12,0.098,2.3042192459106445
13,0.098,2.3042187690734863
14,0.098,2.304218053817749
15,0.098,2.304218053817749
16,0.098,2.304218053817749
17,0.098,2.304217576980591
18,0.098,2.3042171001434326
19,0.098,2.3042168617248535
20,0.098,2.3042168617248535
