round,accuracy,loss
0,0.1359,2.304263655143448
1,0.6105,2.0709933963003038
2,0.7738,0.9734569154208219
3,0.8658,0.4878892983439602
4,0.8822,0.39151196700485447
5,0.8899,0.36113683190904083
6,0.9034,0.315984602310235
7,0.9151,0.2869875977122331
8,0.9196,0.2747379629813795
9,0.9158,0.26403605032570754
10,0.9251,0.25185455386585825
11,0.9234,0.2593039189807222
12,0.9288,0.22776672241714183
13,0.9411,0.20267446155223665
14,0.9414,0.1939735873779164
15,0.9381,0.2004481812797581
16,0.9418,0.1984655581579744
17,0.9471,0.17098315464497743
18,0.9509,0.16147057545854698
19,0.953,0.1563011144959851
20,0.9531,0.14905980004209884
