round,accuracy,loss
0,0.0981,2.3133443941043903
1,0.1037,2.3141704511038865
2,0.1132,2.3149247018596792
3,0.1238,2.3154221214825594
4,0.1282,2.3155812462673913
5,0.1328,2.3155103001413466
6,0.1335,2.315329415888726
7,0.1299,2.3150843396971497
8,0.1269,2.3147809656360483
9,0.1228,2.3143956751763066
10,0.1199,2.3139942175225365
11,0.1167,2.313579278656199
12,0.1158,2.3131201931192904
13,0.1145,2.312636007236529
14,0.1133,2.312100558341304
15,0.1126,2.311496713493444
16,0.1122,2.310822052291677
17,0.1116,2.31005565124222
18,0.1107,2.3092176552060284
19,0.1101,2.308285879183419
20,0.1099,2.3072884233692026
