round,accuracy,loss
0,0.1,2.302585092994046
1,0.1009,2.302682876586914
2,0.1009,2.302682638168335
3,0.1009,2.302682638168335
4,0.1009,2.302682638168335
5,0.1009,2.302682399749756
6,0.1009,2.302682638168335
7,0.1009,2.302682638168335
8,0.1009,2.302682638168335
9,0.1009,2.302682638168335
10,0.1009,2.302682638168335
11,0.1009,2.302682638168335
12,0.1009,2.302682638168335
13,0.1009,2.302682638168335
14,0.1009,2.302682638168335
15,0.1009,2.302682638168335
16,0.1009,2.302682638168335
17,0.1009,2.302682638168335
18,0.1009,2.302682399749756
19,0.1009,2.302682638168335
20,0.1009,2.302682638168335
