round,accuracy,loss
0,0.1,2.302585092994046
1,0.1028,2.3025691509246826
2,0.0974,2.3028199672698975
3,0.0958,2.3031299114227295
4,0.1032,2.302997350692749
5,0.0982,2.303114175796509
6,0.0892,2.303705930709839
7,0.1009,2.3036086559295654
8,0.1135,2.302762985229492
9,0.098,2.302769660949707
10,0.101,2.3025739192962646
11,0.1028,2.3025505542755127
12,0.0974,2.30279541015625
13,0.0958,2.3031015396118164
14,0.1032,2.3029661178588867
15,0.0982,2.303081750869751
16,0.0892,2.3036742210388184
17,0.1009,2.303579568862915
18,0.1135,2.302739143371582
19,0.098,2.3027522563934326
20,0.101,2.3025643825531006
