round,accuracy,loss
0,0.0792,2.3084411862530287
1,0.1588,2.27495031115375
2,0.2799,2.2381394814841356
3,0.3136,2.1973907796642447
4,0.4098,2.1537127464632446
5,0.4665,2.099203486985798
6,0.5897,2.0385499423063256
7,0.6083,1.9920321718046936
8,0.6426,1.9429090717170812
9,0.6755,1.8969309118729603
10,0.7227,1.8441997042185143
11,0.7443,1.796530202974247
12,0.7498,1.755369082281861
13,0.7589,1.719876312002351
14,0.7677,1.6856244138524503
15,0.7741,1.652699325658098
16,0.7837,1.6204529940327512
17,0.7966,1.5896680626688124
18,0.8169,1.5579738315147689
19,0.8152,1.5355566423150557
20,0.8165,1.511198644396625
21,0.8146,1.4917394737654095
22,0.8215,1.4737060281294811
23,0.8211,1.4562311217754702
24,0.8206,1.4422931127910372
25,0.8231,1.4266910477529597
26,0.8219,1.4152854952631118
27,0.826,1.4029158278356624
28,0.8273,1.3913529884966114
29,0.8278,1.381818240201926
30,0.8289,1.3742164795911764
31,0.8294,1.3667594994170755
32,0.83,1.3599642469913145
33,0.8297,1.3538542171067829
34,0.8329,1.3473165729377843
35,0.8335,1.3416629260099386
36,0.8346,1.3357730243779435
37,0.8341,1.3314036387431472
38,0.8359,1.327992480012435
39,0.8369,1.3246020108838625
40,0.8365,1.3213922886908809
41,0.8376,1.3181612567056584
42,0.8376,1.3160317894778675
43,0.838,1.3135941073864321
44,0.839,1.3114726241630843
45,0.8397,1.309493540208551
46,0.8396,1.3079008618487586
47,0.8395,1.3066960543016843
48,0.8397,1.305285649963572
49,0.8401,1.3038073114201993
50,0.8404,1.3026652562467358
51,0.8406,1.3015783361241788
52,0.8408,1.3006908350353
53,0.8409,1.2997354691541647
54,0.8408,1.2990067623838593
55,0.8409,1.298229889024662
56,0.8415,1.2976531605177288
57,0.8416,1.2970416047905065
58,0.8417,1.296529234210147
59,0.8418,1.2960230066806455
60,0.8418,1.2955712396887284
61,0.8421,1.2951105214372467
62,0.8422,1.294727619690231
63,0.8422,1.294469871098482
64,0.8421,1.2941572515270379
65,0.8421,1.2938971172405194
66,0.8421,1.2936915943894205
67,0.8421,1.2935105667838567
68,0.8422,1.293322274956522
69,0.8422,1.2931646063357969
70,0.8421,1.29301134393185
71,0.8422,1.292852356464048
72,0.8423,1.2927057667623592
73,0.8423,1.2925846652139592
74,0.8423,1.2924783320366582
75,0.8424,1.29237815549102
76,0.8423,1.292293495769742
77,0.8425,1.292213602911068
78,0.8425,1.292140725292737
79,0.8426,1.2920720396162588
80,0.8427,1.2920052793961536
81,0.8427,1.2919566691676272
82,0.8427,1.2919074991081334
83,0.8427,1.2918624636493152
84,0.8427,1.2918207192722755
85,0.8427,1.291782619077948
86,0.8427,1.2917489190644855
87,0.8427,1.2917130657389193
88,0.8427,1.291679794275308
89,0.8427,1.2916515975058833
90,0.8427,1.2916275564628312
91,0.8427,1.2916066963461381
92,0.8427,1.2915871792201754
93,0.8427,1.2915707072125207
94,0.8427,1.291554431372051
95,0.8427,1.2915396584740169
96,0.8427,1.291525739657728
97,0.8427,1.2915158905560458
98,0.8427,1.2915054363540457
99,0.8427,1.2914964790585675
100,0.8427,1.2914882400367833
101,0.8427,1.291480233397665
102,0.8427,1.2914729435232621
103,0.8427,1.2914673587943934
104,0.8427,1.291460953181303
105,0.8427,1.291455717026433
106,0.8427,1.2914508807508251
107,0.8427,1.2914467325693444
108,0.8427,1.2914426990702181
109,0.8427,1.29143943515005
110,0.8427,1.29143682159955
111,0.8427,1.2914338609840297
112,0.8427,1.291431331936317
113,0.8427,1.2914285855957224
114,0.8427,1.291426186320148
115,0.8427,1.2914245309708994
116,0.8427,1.2914227881009066
117,0.8427,1.2914212172544455
118,0.8427,1.2914198365392564
119,0.8427,1.2914185961590539
120,0.8427,1.2914176228680188
121,0.8427,1.2914165092419974
122,0.8427,1.291415421268608
123,0.8427,1.2914145807676678
124,0.8427,1.291413725176944
125,0.8427,1.2914130129391634
126,0.8427,1.2914123218270797
127,0.8427,1.2914117680320256
128,0.8427,1.2914113274103478
129,0.8427,1.2914109320580205
130,0.8427,1.291410458238819
131,0.8427,1.2914101488982574
132,0.8427,1.2914098078691507
133,0.8427,1.2914095347440695
134,0.8427,1.2914092948165121
135,0.8427,1.2914091122301319
136,0.8427,1.2914089281347734
137,0.8427,1.291408831560159
138,0.8427,1.2914087334765663
139,0.8427,1.2914086293570604
140,0.8427,1.2914085569260996
141,0.8427,1.291408511656749
142,0.8427,1.2914084346988532
143,0.8427,1.2914083698127843
144,0.8427,1.2914083260524123
145,0.8427,1.2914082973818235
146,0.8427,1.2914082792740833
147,0.8427,1.2914082581483866
148,0.8427,1.2914082400406464
149,0.8427,1.2914082264598412
150,0.8427,1.2914082023161877
151,0.8427,1.2914082053341442
152,0.8427,1.2914081962802741
153,0.8427,1.291408187226404
154,0.8427,1.2914081676096856
155,0.8427,1.2914081751545774
156,0.8427,1.2914081706276423
157,0.8427,1.291408178172534
158,0.8427,1.2914081721366206
159,0.8427,1.2914081661007073
160,0.8427,1.2914081706276423
161,0.8427,1.2914081630827505
162,0.8427,1.2914081570468372
163,0.8427,1.2914081630827505
164,0.8427,1.2914081525199022
165,0.8427,1.2914081615737723
166,0.8427,1.2914081600647938
167,0.8427,1.2914081676096856
168,0.8427,1.2914081691186639
169,0.8427,1.2914081555378587
170,0.8427,1.2914081615737723
171,0.8427,1.2914081570468372
172,0.8427,1.2914081555378587
173,0.8427,1.2914081570468372
174,0.8427,1.2914081555378587
175,0.8427,1.2914081585558155
176,0.8427,1.2914081615737723
177,0.8427,1.2914081645917288
178,0.8427,1.2914081600647938
179,0.8427,1.2914081570468372
180,0.8427,1.2914081630827505
181,0.8427,1.2914081630827505
182,0.8427,1.2914081540288804
183,0.8427,1.2914081600647938
184,0.8427,1.2914081555378587
185,0.8427,1.2914081600647938
186,0.8427,1.2914081615737723
187,0.8427,1.2914081600647938
188,0.8427,1.2914081661007073
189,0.8427,1.2914081615737723
190,0.8427,1.2914081585558155
191,0.8427,1.2914081570468372
192,0.8427,1.2914081585558155
193,0.8427,1.2914081570468372
194,0.8427,1.2914081585558155
195,0.8427,1.2914081555378587
196,0.8427,1.2914081585558155
197,0.8427,1.2914081600647938
198,0.8427,1.2914081585558155
199,0.8427,1.2914081540288804
200,0.8427,1.2914081570468372
