round,accuracy,loss
0,0.1093,2.3057742450810688
1,0.8828,0.43408198711238327
2,0.9128,0.2893359308142828
3,0.93,0.23532454063526437
4,0.9425,0.19501516158114882
5,0.9521,0.16073971268827025
6,0.958,0.1389591344337486
7,0.9632,0.11983455089805058
8,0.9677,0.10580484028551963
9,0.9711,0.09447067204414855
10,0.9735,0.08673052857276288
11,0.9756,0.08033459000525218
12,0.9754,0.0761727956757303
13,0.9767,0.07151475315618835
14,0.9776,0.06781843679520903
15,0.9781,0.06513308921587194
16,0.979,0.06206120363410114
17,0.9805,0.05976956495956247
18,0.9804,0.05853366040288695
19,0.9811,0.05575964705800473
20,0.9811,0.05558719753384991
21,0.9822,0.05331056336268099
22,0.9829,0.05107416023310168
23,0.9831,0.05022728317115114
24,0.9835,0.049242787971234984
25,0.9841,0.048739439714994705
26,0.984,0.04786979523450549
27,0.9837,0.047108362334164426
28,0.9842,0.046531217310708785
29,0.9847,0.045805163853551274
30,0.984,0.0459961887836586
31,0.9847,0.04447920601542367
32,0.9849,0.04458071525916722
33,0.9855,0.04236902797405307
34,0.9848,0.04277830868403139
35,0.986,0.041403526177775714
36,0.9859,0.040917573759370614
37,0.9858,0.04041876550819106
38,0.9857,0.04060531239252968
39,0.9857,0.04017703599002525
40,0.9862,0.039339114685102275
41,0.986,0.039451399264997904
42,0.9864,0.038762291593759324
43,0.9862,0.03883400399234556
44,0.9858,0.039121375536259495
45,0.9868,0.03792382883224076
46,0.9869,0.03759542795371919
47,0.987,0.037650349841355873
48,0.9875,0.03711338721879218
49,0.987,0.037094320499749346
50,0.987,0.03731612343826667
51,0.987,0.03685483274814862
52,0.9873,0.03671491769710895
53,0.9873,0.03609951423185279
54,0.9873,0.0352093803604602
55,0.9872,0.03552520106046658
56,0.9877,0.03545105260587961
57,0.9875,0.035701924005456645
58,0.9875,0.035719917516468705
59,0.9878,0.035148272909328294
60,0.9875,0.03575837561284867
61,0.9877,0.03462380870276527
62,0.9879,0.03500920652220861
63,0.9881,0.03488492893928749
64,0.9879,0.03490591084040647
65,0.9878,0.034321825648050114
66,0.9877,0.03481930444523423
67,0.9876,0.03417488502324161
68,0.9879,0.03508867836491753
69,0.9879,0.03375771688675004
70,0.9886,0.03383601910085233
71,0.988,0.033488921980774015
72,0.9883,0.033536706435197745
73,0.9883,0.033528398276734775
74,0.9886,0.033967679892848074
75,0.9884,0.033403668744851324
76,0.9882,0.03347642461421511
77,0.9882,0.03382778091225744
78,0.9881,0.03335506150167792
79,0.9881,0.03308335207590592
80,0.9886,0.033041066836320375
81,0.9883,0.03338872806042546
82,0.9887,0.03310031178528944
83,0.9887,0.03296488573457132
84,0.9882,0.03338727580145892
85,0.9893,0.03271742576751283
86,0.9879,0.03305574746623221
87,0.9875,0.03353149897101721
88,0.9885,0.03280001828891186
89,0.9884,0.03327346112292858
90,0.9886,0.033097755208162404
91,0.9891,0.0331326755563341
92,0.9887,0.033709026598260125
93,0.9883,0.03285524042096572
94,0.9886,0.033228867121418065
95,0.9888,0.03381489729665329
96,0.989,0.03362654681996567
97,0.9886,0.03306054930689692
98,0.9886,0.032999470486059564
99,0.9889,0.033102057190366324
100,0.9884,0.033242011402567016
101,0.9885,0.033573536532584734
102,0.989,0.03388352483037849
103,0.9888,0.03337830740927046
104,0.9884,0.03351557829797987
105,0.9888,0.03384335700826065
106,0.9888,0.0334509792642799
107,0.9886,0.033684597438705284
108,0.9888,0.033550796351155904
109,0.9891,0.03327162865459481
110,0.989,0.033525804321735575
111,0.989,0.03376589127378505
112,0.989,0.03377619133669536
113,0.9892,0.03377747517985386
114,0.9893,0.034202179677086414
115,0.9888,0.03359829894640215
116,0.9893,0.03387568024861795
117,0.9891,0.034424823100840815
118,0.9888,0.034055513338472926
119,0.9893,0.03373714521874234
120,0.9892,0.0339941910387661
121,0.9891,0.03427016140446966
122,0.9891,0.03393368574552945
123,0.9894,0.034204730626455945
124,0.9892,0.03416312751315799
125,0.9891,0.03451428030219959
126,0.9891,0.03425545120542297
127,0.9889,0.03464310402975421
128,0.9894,0.03439997479408473
129,0.9891,0.0348110989606729
130,0.9892,0.03496431515072167
131,0.989,0.0350564769649057
132,0.9893,0.0344312773737254
133,0.9891,0.03516683141405441
134,0.9887,0.03586640821698824
135,0.9895,0.03504630715969419
136,0.9891,0.035215453969279144
137,0.9891,0.035477623734156125
138,0.9893,0.03551856271877436
139,0.989,0.03541856793773621
140,0.9895,0.03531823770992871
141,0.9889,0.03535421840932699
142,0.9894,0.03551754433530582
143,0.9893,0.03594550918443376
144,0.9893,0.0357732978090173
145,0.9895,0.03608710064754287
146,0.9892,0.036050391865973315
147,0.9896,0.03600741168926291
