round,accuracy,loss
0,0.0836,2.31499428990521
1,0.0979,2.469529701184623
2,0.2714,2.1830393181571477
3,0.298,2.0774480723127535
4,0.5675,1.9629371271857732
5,0.4875,1.8822952192040938
6,0.5947,1.802094872993759
7,0.4181,1.7834718664990197
8,0.5141,1.7858578751358805
9,0.3257,1.895791847494584
10,0.458,1.9922080175786079
11,0.3578,2.1004880787451055
12,0.445,2.070881439160697
13,0.3094,2.0336630465109136
14,0.4675,1.8867010723186444
15,0.376,1.7209640635719783
16,0.5028,1.6915163601501078
17,0.4748,1.531462758402281
18,0.5333,1.5494378518454637
19,0.5725,1.469795355313941
20,0.5419,1.4471510890163952
21,0.5297,1.5268815876562385
22,0.5348,1.677027620846712
23,0.5106,1.8067954612683645
24,0.4906,1.9427766105796718
25,0.5749,1.884439468383789
26,0.4729,1.5029507860352722
27,0.5702,1.5020114047617852
28,0.4812,1.6078864879246
29,0.5473,1.673206471189668
30,0.5506,1.4025502627408957
31,0.5621,1.3131606593916687
32,0.596,1.204916844639597
33,0.6001,1.1023195484016515
34,0.6472,1.1452545742445355
35,0.6008,1.0315768945066235
36,0.6843,1.111439148836498
37,0.6343,1.032676945004282
38,0.6624,1.2214632449270804
39,0.6836,1.186984991725487
40,0.6992,1.02936085266403
41,0.6923,0.9238412101057512
42,0.6877,0.9711428035663653
43,0.7003,1.0658722821670243
44,0.6819,0.9766434008562113
45,0.7162,1.0047883859163598
46,0.6752,0.8914396694943875
47,0.7047,1.0741462420813646
48,0.6679,0.9519136457503596
49,0.7063,1.0436006037494805
50,0.674,0.976875366666649
51,0.6977,1.0924733952630925
52,0.6605,0.9916274136380304
53,0.6993,1.0299876867970335
54,0.6893,0.880701822193363
55,0.7074,0.9367864162107057
56,0.7088,0.7870147677162026
57,0.7127,0.9213502293900598
58,0.7378,0.726520016600814
59,0.7237,0.8240783569179003
60,0.7587,0.679630913311922
61,0.7332,0.7791843214367009
62,0.7749,0.6470066214664073
63,0.7462,0.7869494964804831
64,0.78,0.636682997021494
65,0.7584,0.7504882488069655
66,0.7768,0.6559851218627978
67,0.7796,0.7530995101868352
68,0.7602,0.7294771218601661
69,0.7537,0.7965457529961308
70,0.6975,0.8334379211256776
71,0.7258,0.8466341012640844
72,0.7072,0.932331024091455
73,0.7231,0.8307319883304306
74,0.7321,0.8800234387192545
75,0.7523,0.6984830932526649
76,0.7403,0.8104026732565481
77,0.7611,0.7195004066334495
78,0.7667,0.6548283767851093
79,0.7813,0.6105882996999765
80,0.7676,0.6681148707866669
81,0.7774,0.6112977296491212
82,0.7703,0.6589360354067404
83,0.8068,0.5573912359113935
84,0.7966,0.5594414223598528
85,0.8139,0.5457073384070699
86,0.7945,0.5643780961444106
87,0.8007,0.5852727384506902
88,0.8129,0.5451907498549812
89,0.824,0.5235143151087097
90,0.8062,0.5316854209839543
91,0.8122,0.5523506257730194
92,0.7974,0.5528858768034585
93,0.7961,0.5863694982438148
94,0.7835,0.5835878428401826
95,0.8036,0.5641433059037486
96,0.798,0.5700295942870877
97,0.8113,0.5462635515988628
98,0.8065,0.5387954570447342
99,0.8025,0.5903807538974134
100,0.8027,0.5469905315320703
101,0.7944,0.6141200650341904
102,0.8222,0.5164670946100091
103,0.802,0.6237149449843394
104,0.8121,0.5907592748916601
105,0.7679,0.785041621968716
106,0.7434,0.811589632230469
107,0.7306,1.0831390611733063
108,0.7482,0.8164392060871366
109,0.7313,0.9249976167950449
110,0.7537,0.7629446274117578
111,0.7702,0.7209478428092184
112,0.7879,0.6633013718867604
113,0.7526,0.7141909161700478
114,0.7826,0.6570442013348206
115,0.7244,0.7894269182712217
116,0.7879,0.6166265372988544
117,0.7604,0.6491888984094693
118,0.809,0.5710305254670638
119,0.7607,0.668065330650233
120,0.8215,0.5325236177142663
121,0.7728,0.6207574451271491
122,0.8131,0.5359248230351678
123,0.7512,0.724414829211899
124,0.7926,0.6057481397933597
125,0.7488,0.7118278594711159
126,0.7854,0.6355319634268556
127,0.755,0.6509054348438601
128,0.7846,0.6326500141545187
129,0.7494,0.6575224486332906
130,0.781,0.6460385431971731
131,0.7582,0.640471864727479
132,0.7902,0.6540140426611598
133,0.8024,0.5252125385818602
134,0.826,0.5090576846011078
135,0.789,0.5594393758079673
136,0.8008,0.5688340224419968
137,0.7633,0.721586449614054
138,0.8131,0.553981793643553
139,0.7924,0.5739925126486187
140,0.842,0.4694506405275079
141,0.845,0.46796178072690964
142,0.8372,0.4829729452163358
143,0.8217,0.5075482927922961
144,0.8233,0.515790202006509
145,0.8008,0.5583007130064542
146,0.8357,0.49355968672640715
147,0.8453,0.46846507008694394
148,0.8392,0.48229263232478614
149,0.8432,0.47204944170728513
150,0.8316,0.4974691045435169
151,0.8303,0.4796438811323311
152,0.8455,0.46278177682734745
153,0.8492,0.4444136726139467
154,0.854,0.4289819993361642
155,0.8579,0.4304261920572836
156,0.8532,0.43403242943407616
157,0.868,0.4209894801996931
158,0.858,0.42146856564132473
159,0.8532,0.45758764728715146
160,0.826,0.5134989059046854
161,0.8448,0.4799291914965533
162,0.8358,0.489063219179081
163,0.8148,0.5354022430845454
164,0.8159,0.549007697573191
165,0.8251,0.5216401321224019
166,0.8428,0.45510190602722045
167,0.8462,0.4612491658028168
168,0.857,0.41689277345998377
169,0.8651,0.4304881134553801
170,0.8618,0.4164812831750399
171,0.8773,0.399065974769713
172,0.8629,0.4249474990971481
173,0.8821,0.3796618962778321
174,0.8535,0.4537221681845339
175,0.8636,0.4109361336766919
176,0.8135,0.5112378038937533
177,0.8417,0.4656186704582806
178,0.7911,0.5744506430022324
179,0.826,0.5142364249199252
180,0.7846,0.6226746002330056
181,0.8179,0.5607737453677987
182,0.7825,0.5801510607139974
183,0.8033,0.5871625842550133
184,0.8063,0.5353700494087195
185,0.8331,0.5057231757459761
186,0.8152,0.5239462601610377
187,0.8448,0.4638915836245199
188,0.8216,0.5173998611825931
189,0.8243,0.5121123075862474
190,0.805,0.5486752124904077
191,0.8438,0.4569985995752902
192,0.8206,0.5138936624685421
193,0.8482,0.45116124877446817
194,0.845,0.47578589382428155
195,0.861,0.41823132628504234
196,0.8593,0.44680248729035826
197,0.8505,0.44861853735733637
198,0.8661,0.42074700350625605
199,0.863,0.40864715423387815
200,0.8643,0.4412555499356004
