round,accuracy,loss
0,0.1053,2.306180993212929
1,0.098,6.625528770157054
2,0.098,7.682199961022485
3,0.098,8.19317961342727
4,0.098,8.530835278426544
5,0.098,8.783218667476993
6,0.098,8.986060009726994
7,0.098,9.15492182140109
8,0.098,9.299625372584861
9,0.098,9.426705118976061
10,0.098,9.539481621754321
11,0.098,9.641433546814737
12,0.098,9.734292138980914
13,0.098,9.819132032273691
14,0.098,9.897786454309392
15,0.098,9.970700952071178
16,0.098,10.03879034066502
17,0.098,10.102677647071548
18,0.098,10.16296127174474
19,0.098,10.219937071015563
20,0.098,10.273966378803495
21,0.098,10.325326002096828
22,0.098,10.374090206773975
23,0.098,10.420791601832908
24,0.098,10.465524661390088
25,0.098,10.508447140078001
26,0.098,10.549785891665689
27,0.098,10.589307712603219
28,0.098,10.62746073324469
29,0.098,10.664299940761131
30,0.098,10.69994007786618
31,0.098,10.734507500370846
32,0.098,10.767611769181263
33,0.098,10.799932334996477
34,0.098,10.831392831440214
35,0.098,10.861728306058087
36,0.098,10.891293260115612
37,0.098,10.920085061954547
38,0.098,10.947748872298229
39,0.098,10.97505087792119
40,0.098,11.001618397386768
41,0.098,11.027622633342501
42,0.098,11.053120275086995
43,0.098,11.077935267098342
44,0.098,11.101929254169706
45,0.098,11.125497359263745
46,0.098,11.14880502676662
47,0.098,11.171506060829646
48,0.098,11.193748039535329
49,0.098,11.215457397171214
50,0.098,11.236869039414804
51,0.098,11.257740238044835
52,0.098,11.27825668190099
53,0.098,11.298387442963033
54,0.098,11.318019710009612
55,0.098,11.337366852579237
56,0.098,11.356407829477817
57,0.098,11.374951290178902
58,0.098,11.393324369116675
59,0.098,11.411361440827575
60,0.098,11.429133825664278
61,0.098,11.446766623967811
62,0.098,11.463927570777603
63,0.098,11.480792347388931
64,0.098,11.497458542449564
65,0.098,11.513819235789624
66,0.098,11.529835206043872
67,0.098,11.545791155175317
68,0.098,11.561525079268444
69,0.098,11.576972285403482
70,0.098,11.592207196392591
71,0.098,11.607195697253264
72,0.098,11.62199374090267
73,0.098,11.636687990985338
74,0.098,11.651061154619049
75,0.098,11.665328110320658
76,0.098,11.679311233230784
77,0.098,11.693210287939143
78,0.098,11.706842627706408
79,0.098,11.720340777047072
80,0.098,11.733712932731532
81,0.098,11.746849579147145
82,0.098,11.75995692723914
83,0.098,11.772807797299155
84,0.098,11.785457852520521
85,0.098,11.797975117647194
86,0.098,11.810346615465381
87,0.098,11.822646817074546
88,0.098,11.834698930571351
89,0.098,11.846694439272337
90,0.098,11.85855611970153
91,0.098,11.870149503780317
92,0.098,11.881759233112577
93,0.098,11.893180267720282
94,0.098,11.90446004988272
95,0.098,11.91563433635084
96,0.098,11.926726872407936
97,0.098,11.937713695477836
98,0.098,11.94867654389973
99,0.098,11.959430259994313
100,0.098,11.970091409321073
101,0.098,11.980696750592582
102,0.098,11.99108762378934
103,0.098,12.001458892339393
104,0.098,12.01177644126023
105,0.098,12.021970495393004
106,0.098,12.032056216952167
107,0.098,12.042052691495872
108,0.098,12.051967548418649
109,0.098,12.061749554887603
110,0.098,12.071455484704126
111,0.098,12.081084191044674
112,0.098,12.090641070015822
113,0.098,12.100120616864555
114,0.098,12.109532054466538
115,0.098,12.118802637993534
116,0.098,12.128035545349121
117,0.098,12.137169548227817
118,0.098,12.146198707290843
119,0.098,12.155193582365785
120,0.098,12.164191837552227
121,0.098,12.172964096069336
122,0.098,12.181702130957495
123,0.098,12.190410819234728
124,0.098,12.198977096171319
125,0.098,12.207545087307315
126,0.098,12.216040104250364
127,0.098,12.224451644511163
128,0.098,12.232839137692995
129,0.098,12.241038938111897
130,0.098,12.249224662780762
131,0.098,12.257406814188897
132,0.098,12.265477796144124
133,0.098,12.273436992983275
134,0.098,12.28140170664727
135,0.098,12.289291140399401
136,0.098,12.297159858896762
137,0.098,12.304919737803784
138,0.098,12.31269066243232
139,0.098,12.320346506336067
140,0.098,12.327975635287128
141,0.098,12.335558867152733
142,0.098,12.34304725067525
143,0.098,12.350545617598522
144,0.098,12.357937631727774
145,0.098,12.365284762805022
146,0.098,12.372597996192642
147,0.098,12.37990631634676
148,0.098,12.387137400953076
149,0.098,12.39427736741078
150,0.098,12.401364072968688
151,0.098,12.408411496802222
152,0.098,12.415476992160459
153,0.098,12.422493343111835
