round,accuracy,loss
0,0.0977,2.3080680128894273
1,0.1078,2.305906464781942
2,0.0921,2.3734579237201547
3,0.102,2.3720438993429838
4,0.1202,2.3201171899143653
5,0.197,2.2831997388525855
6,0.2209,2.265857738784597
7,0.2292,2.259197295466556
8,0.2353,2.254398949538605
9,0.2423,2.250050031686131
10,0.2393,2.2469855169706707
11,0.2466,2.2421287856524503
12,0.2444,2.240474812592132
13,0.242,2.235748309123365
14,0.2255,2.2423128749750836
15,0.157,2.2441614519191693
16,0.1785,2.335371174389803
17,0.118,2.5052680939058716
18,0.2155,3.195187447946283
19,0.1012,2.9676371163959745
20,0.1948,3.5398071898689754
21,0.1553,2.8572500385815585
22,0.1639,3.247615171384208
23,0.0977,3.061909141419809
24,0.1531,3.78430533107323
25,0.1009,3.543758784668355
26,0.0859,3.7854535308065294
27,0.1804,4.517084526110299
28,0.0892,4.062037905560264
29,0.2189,4.202323267731486
30,0.0958,3.8055031782464135
31,0.2295,4.219499907916105
32,0.1279,3.936941795711276
33,0.1136,3.452592424199551
34,0.0991,3.5076699196537837
35,0.1953,3.8399562382999854
36,0.1012,3.9717690974851196
37,0.0958,3.8954111775265465
38,0.1849,3.8587393760681152
39,0.1402,4.376593121999426
40,0.0982,3.632187146174757
41,0.1838,3.993111734148822
42,0.1155,4.074812988691692
43,0.2636,4.391493305375304
44,0.0995,4.027823553809637
45,0.2477,4.289012263092814
46,0.1028,3.463488476185859
47,0.1557,3.5123114404799063
48,0.1017,3.548761361761938
49,0.1917,3.4573548715325852
50,0.0968,3.2304401608962046
51,0.229,3.666773584824574
52,0.0961,3.2830264900304096
53,0.1261,3.562483229214632
54,0.1095,3.2133728944802584
55,0.0983,3.7581641583503047
56,0.0958,3.2949717406985126
57,0.1003,3.765375502501862
58,0.0974,3.3403793226314495
59,0.1354,3.7573926509181157
60,0.1614,3.262737572947635
61,0.0975,3.6048827050607417
62,0.106,3.321263304239587
63,0.2181,3.849656032610543
64,0.2035,3.0651633648932735
65,0.222,3.223611723018598
66,0.1028,3.0817055973825576
67,0.1844,3.1642935185492793
68,0.1836,3.4510517422156997
69,0.168,3.0476858012283903
70,0.1854,2.9758146714560594
71,0.0892,2.901248937920679
72,0.2178,3.304349162910558
73,0.1805,3.236412485943565
74,0.177,3.430900323240063
75,0.1078,3.2737430500078806
76,0.1596,3.4334534150135667
77,0.1032,3.1066770161254498
78,0.2108,3.4509041943127596
79,0.2272,3.1482094541380676
80,0.2128,3.415002343020862
81,0.111,3.124665055093886
82,0.2267,3.3954662974876695
83,0.181,3.6558886268470863
84,0.1608,3.3098695187629024
85,0.1625,3.495898035508168
86,0.1028,3.047182970409152
87,0.1733,3.40688906440252
88,0.1912,3.296118455597117
89,0.1894,3.277679066114788
90,0.1028,2.919499125661729
91,0.2577,3.1203166684017907
92,0.0905,2.996704681010186
93,0.2533,3.366671486745907
94,0.1028,2.9637453435342525
95,0.2213,3.1620950849750376
96,0.0982,2.9187112035630625
97,0.2073,3.467095924329154
98,0.1168,2.875908724869354
99,0.219,3.2658926897411105
100,0.0974,2.696310444723202
101,0.3015,3.3754536864123765
102,0.1624,3.323007034350045
103,0.2243,3.8191701792463473
104,0.1845,3.202202987067307
105,0.2364,3.4375912479207487
106,0.1032,2.4917636400536645
107,0.2682,3.014542649063883
108,0.1301,2.983725882783721
109,0.2728,3.383364988278739
110,0.1032,2.8241983455947683
111,0.317,3.6050886142102976
112,0.1009,3.0282995278322242
113,0.2997,3.2618536345566373
114,0.1019,2.912116249905357
115,0.1665,3.3100077049641667
116,0.2005,3.3239071369171143
117,0.1966,3.5075567221339745
118,0.1236,3.054648993890497
119,0.2928,3.367568652841109
120,0.1023,2.8488775657702097
121,0.3018,3.5201044927669476
122,0.0974,2.6285213699823693
123,0.2532,3.1661018872562843
124,0.1304,3.00606664223007
125,0.2535,3.37266465380222
126,0.1009,2.7010749714284
127,0.1596,3.1272881755345985
128,0.1734,3.117364207400551
129,0.1368,3.645392508446416
130,0.1135,3.1349938096879404
131,0.1699,3.4247714115094534
132,0.1511,3.218517010724997
133,0.1776,3.4960314412660236
134,0.1118,3.074358478377137
135,0.1522,3.2249983503848694
136,0.1716,3.126251359529133
137,0.1695,3.1548066923889935
138,0.1601,2.7661151795447627
139,0.2671,3.1810781623743756
140,0.0983,2.7153174183036706
141,0.3008,3.250936245616478
142,0.1264,2.8805224895477295
143,0.2665,3.3256488299068017
144,0.1552,3.048347183420688
145,0.2261,3.6841539672658414
146,0.0974,2.9138673196865033
147,0.1814,3.1809196804143207
148,0.1736,2.8876108851613878
149,0.2138,3.3917696958855736
150,0.0814,3.1435217736642573
151,0.3051,3.6738344264935843
152,0.1017,2.9704060131990455
153,0.2048,3.2212320611446716
154,0.139,3.0915063212189495
155,0.3095,3.396694744689555
156,0.1055,2.9827498544620563
157,0.2945,3.4337057463730436
158,0.1437,3.110227494300166
159,0.251,3.5976663118676293
160,0.0494,3.131029298033895
161,0.2364,3.6079955282090586
162,0.1028,3.0447867248631733
163,0.2077,3.0751998545248296
164,0.1626,3.264001970049701
165,0.1915,3.154134391229364
166,0.184,3.1979460535170157
167,0.1082,3.0906753721116464
168,0.2447,3.002647665482533
169,0.0979,2.901195133788676
170,0.2099,3.066891039474101
171,0.0925,3.000308190719991
172,0.3915,3.3798481452314157
173,0.1965,2.400512954856776
174,0.1778,2.6498431887807725
175,0.201,2.583346049996871
176,0.1014,3.058095449133764
177,0.1015,2.6590876307668565
178,0.2063,3.216328207450577
179,0.1763,3.038320960877817
180,0.2068,3.4756440754178204
181,0.1744,3.277392290815522
182,0.2649,3.7968827048434486
183,0.101,2.9798873708217957
184,0.2587,2.943743373774275
185,0.1313,3.3222300945958003
186,0.134,2.7628540238247643
187,0.2794,3.3724493799330313
188,0.2309,2.8450660041615934
189,0.0972,3.0045802231076397
190,0.1866,2.81102273735819
191,0.2539,3.3287789640547354
192,0.1951,2.745377510408812
193,0.1897,2.778439708902866
194,0.1993,2.895691935020157
195,0.1854,3.1344736769229553
196,0.1977,3.0167720951611483
197,0.1129,3.27926391287695
198,0.1965,2.9484791212444064
199,0.1003,3.322170870213569
200,0.182,2.9958116223540485
