round,accuracy,loss
0,0.0838,2.316367632226099
1,0.0899,2.315667602080333
2,0.0762,2.3112279433238356
3,0.0694,2.309785580333275
4,0.0934,2.307391175740882
5,0.1013,2.3067323950272574
6,0.1303,2.3013881248763846
7,0.1331,2.2997722686091557
8,0.13,2.299298198917244
9,0.137,2.299247711519652
10,0.1367,2.2952759386617925
11,0.1383,2.292541612552691
12,0.1306,2.293043344835692
13,0.1325,2.289591342588014
14,0.1369,2.28754380383069
15,0.1431,2.2906957065002826
16,0.1406,2.2908149067359633
17,0.1452,2.29128750970092
18,0.1474,2.2863345115999634
19,0.1474,2.285195573975768
20,0.1514,2.2829717110983934
21,0.1554,2.280134065241753
22,0.1567,2.278566140162794
23,0.1584,2.2786424129824097
24,0.1631,2.276486994344977
25,0.1645,2.2768446252315857
26,0.1645,2.2754391145102586
27,0.169,2.2744342797919166
28,0.1684,2.274217391315895
29,0.1693,2.274121414257001
30,0.1694,2.2730913403667983
31,0.1719,2.272247257111948
32,0.1717,2.272057865239397
33,0.1736,2.2715604878679105
34,0.1741,2.2708342226245737
35,0.1746,2.2703759609898433
36,0.1758,2.2702612937251225
37,0.1756,2.2699292792549617
38,0.1762,2.269578040400638
39,0.1763,2.2695132629780828
40,0.1762,2.2690603914140146
41,0.1763,2.268856809109072
42,0.1763,2.268687423271469
43,0.1765,2.268291195736656
44,0.1764,2.268214153338082
45,0.1772,2.268058466005929
46,0.177,2.2679152066194557
47,0.1774,2.2678089624718774
48,0.1774,2.267753021626533
49,0.1775,2.2677824949916405
50,0.1776,2.267605603495731
51,0.1775,2.2675013330918325
52,0.1778,2.2674175274523
53,0.1781,2.2673352006115493
54,0.1777,2.267333115203471
55,0.1778,2.26726446876043
56,0.1778,2.267190954353236
57,0.1778,2.2672214568415776
58,0.1777,2.2672012848190115
59,0.1777,2.267173302324512
60,0.1779,2.267128841786445
61,0.1779,2.267080814023561
62,0.1781,2.26701741278926
63,0.178,2.2669563655611835
64,0.1777,2.266957614995256
65,0.1778,2.2669449425950834
66,0.178,2.26693774476836
67,0.178,2.2669008261040795
68,0.1779,2.266886895215964
69,0.178,2.26687672771985
70,0.1781,2.266866339912897
71,0.178,2.2668384358852722
72,0.178,2.2668405031856103
73,0.178,2.266822048380405
74,0.178,2.2668154511270644
75,0.1781,2.2668132631084585
76,0.178,2.2667969721782057
77,0.1782,2.2667849003514156
78,0.1783,2.266785675966287
79,0.1782,2.2667805031885075
80,0.1784,2.2667798452739474
81,0.1783,2.266777482213853
82,0.1785,2.2667726051958303
83,0.1785,2.2667700761481178
84,0.1784,2.266771259187143
85,0.1784,2.266763638846482
86,0.1784,2.2667621962631803
87,0.1784,2.2667633551585524
88,0.1784,2.2667614447919626
89,0.1784,2.266760877416104
90,0.1781,2.2667600806755357
91,0.1783,2.2667592929888376
92,0.1783,2.2667581552191627
93,0.1783,2.2667564983609356
94,0.1783,2.266754090031491
95,0.1782,2.266753462296498
96,0.1781,2.266753362703927
97,0.1781,2.2667523034011263
98,0.1781,2.266751108290274
99,0.1781,2.2667500550233863
100,0.1781,2.266750356819056
101,0.1781,2.266751078110707
102,0.1781,2.266751250134239
103,0.1781,2.266750788386864
104,0.1781,2.2667505922196787
105,0.1781,2.2667505258246314
106,0.1781,2.2667501757416546
107,0.1781,2.2667500459695162
108,0.1781,2.2667501847955247
109,0.1781,2.2667498467843745
110,0.1781,2.2667496234555786
111,0.1781,2.2667493790010864
112,0.1781,2.266749170762074
113,0.1781,2.2667490077924124
114,0.1781,2.2667488599125343
115,0.1781,2.266748751266093
116,0.1781,2.266748733158353
117,0.1781,2.2667485430270813
118,0.1781,2.2667485188834275
119,0.1781,2.2667483860933326
120,0.1781,2.2667482895187185
121,0.1781,2.2667482563211947
122,0.1781,2.2667481989800176
123,0.1781,2.266748177854321
124,0.1781,2.26674809636949
125,0.1781,2.266748066189923
126,0.1781,2.2667480752437927
127,0.1781,2.2667480209205726
128,0.1781,2.2667479877230488
129,0.1781,2.266747954525525
130,0.1781,2.266747867004781
131,0.1781,2.2667478609688674
132,0.1781,2.266747818717474
133,0.1781,2.2667478217354304
134,0.1781,2.26674777646608
135,0.1781,2.266747755340383
136,0.1781,2.266747752322426
137,0.1781,2.266747752322426
138,0.1781,2.266747716106946
139,0.1781,2.266747728178773
140,0.1781,2.2667476979992056
141,0.1781,2.2667476889453355
142,0.1781,2.2667477010171626
143,0.1781,2.2667477010171626
144,0.1781,2.2667476889453355
145,0.1781,2.2667476919632925
146,0.1781,2.2667476829094224
147,0.1781,2.266747685927379
148,0.1781,2.2667476889453355
149,0.1781,2.2667476919632925
150,0.1781,2.2667477010171626
151,0.1781,2.266747685927379
152,0.1781,2.2667476798914654
153,0.1781,2.266747685927379
154,0.1781,2.2667476829094224
155,0.1781,2.266747676873509
156,0.1781,2.266747685927379
157,0.1781,2.266747685927379
