round,accuracy,loss
0,0.1215,2.299010690254501
1,0.1237,2.2983721117430096
2,0.1247,2.2977186547049993
3,0.1232,2.297063839586475
4,0.1218,2.2964154044284095
5,0.1164,2.2957725796518447
6,0.1085,2.2951361076741277
7,0.1019,2.294500731214692
8,0.0935,2.2938764819616004
9,0.087,2.293283978595009
10,0.083,2.292704096323327
11,0.0804,2.292127087146421
12,0.0773,2.291563903229146
13,0.0774,2.290985765336435
14,0.0797,2.290412525587444
15,0.0818,2.2898326191721083
16,0.0819,2.289233023607278
17,0.0814,2.2886377950257892
18,0.0839,2.2880429346350173
19,0.0861,2.2874531413935406
20,0.0871,2.2868588242349746
21,0.0887,2.286264709279507
22,0.0901,2.2856797326969196
23,0.0921,2.285093340692641
24,0.0944,2.2845009339006643
25,0.0965,2.2839049236683904
26,0.0981,2.28330363804781
27,0.1003,2.2826926919478403
28,0.1025,2.2820823403853403
29,0.1039,2.28145530254026
30,0.1053,2.280814874021313
31,0.1069,2.2801685303072388
32,0.1079,2.2795209582847886
33,0.1093,2.2788667165780367
34,0.1109,2.278199111359029
35,0.1122,2.277525587926937
36,0.1139,2.276858589317225
37,0.1156,2.276177647747571
38,0.1166,2.2754892156093933
39,0.1179,2.27480245240127
40,0.1188,2.274111777921266
41,0.12,2.2734258869026283
42,0.121,2.2727345846876315
43,0.1218,2.272053911716123
44,0.1225,2.271375855313072
45,0.1231,2.2706945515886137
46,0.1233,2.270014074784291
47,0.1236,2.2693361451354206
48,0.1248,2.268658221522464
49,0.1258,2.267968727063529
50,0.1264,2.267285081404674
51,0.1268,2.2666030533706087
52,0.1277,2.2659140176410917
53,0.1282,2.2652233522149583
54,0.1286,2.2645295511318158
55,0.1294,2.2638335288325444
56,0.1298,2.2631344251994845
57,0.13,2.2624253351477126
58,0.1307,2.261707158028325
59,0.1314,2.2609889567652837
60,0.1314,2.260266768781445
61,0.1318,2.2595380016520052
62,0.1321,2.258813091471225
63,0.1327,2.2580832922005953
64,0.133,2.257332647903056
65,0.1331,2.2565857730334318
66,0.1334,2.2558380410641052
67,0.1337,2.255084454258786
68,0.1341,2.2543275627908828
69,0.1349,2.2535674662529668
70,0.1353,2.2528007875514935
71,0.1356,2.252031009408492
72,0.136,2.2512607453744624
73,0.1363,2.2504781982566735
74,0.1365,2.2496878648106056
75,0.1369,2.248889723910561
76,0.1372,2.248094981229758
77,0.1378,2.247289911101136
78,0.1384,2.2464753374268738
79,0.1384,2.2456711938109577
80,0.1389,2.24486813967741
81,0.1391,2.2440389228772513
82,0.1397,2.2432159924808937
83,0.1401,2.2423822125302086
84,0.1405,2.2415491025659104
85,0.1409,2.240718962271002
86,0.141,2.239882499356813
87,0.1415,2.239045804059958
88,0.1418,2.2381994271580177
89,0.1422,2.2373540461817876
90,0.1424,2.2365110705170452
91,0.1429,2.2356580873078937
92,0.143,2.2347992100293124
93,0.1434,2.23394022410429
94,0.1437,2.2330813528616216
95,0.1442,2.232218763496302
96,0.1444,2.2313622341880315
97,0.1449,2.230489582955083
98,0.1454,2.2296234444726872
99,0.1457,2.2287485177003883
100,0.1458,2.2278782898866676
101,0.1461,2.2270094141175476
102,0.1473,2.2261323053625564
103,0.1478,2.225260737576062
104,0.1484,2.2243774118302744
105,0.1487,2.223502705368815
106,0.1493,2.2226193403895897
107,0.1499,2.2217379914054387
108,0.1503,2.220862955986699
109,0.1508,2.2199862486199486
110,0.151,2.2191047366661363
111,0.1514,2.218214650697346
112,0.152,2.2173302837564974
113,0.1524,2.2164436382583426
114,0.1528,2.215559301497061
115,0.1536,2.214670772793927
116,0.1551,2.2137850055211707
117,0.1553,2.2129063757160043
118,0.156,2.2120224131813533
119,0.157,2.2111339961426166
120,0.1578,2.2102423438543006
121,0.1582,2.2093584809122206
122,0.1588,2.2084720376171645
123,0.1589,2.2075881626032574
124,0.16,2.206699676151517
125,0.1606,2.20581250251094
126,0.1612,2.204926732220227
127,0.1623,2.204029701933076
128,0.1629,2.2031405877463426
129,0.1638,2.202254026750975
130,0.1648,2.2013737189618845
131,0.1658,2.2004851480073566
132,0.1664,2.199593869945671
133,0.1666,2.1987048432796814
134,0.1673,2.1978171807301194
135,0.1685,2.1969344163242774
136,0.1695,2.1960504930230638
137,0.171,2.1951738429974905
138,0.1725,2.1942900223068045
139,0.1733,2.19340704966195
140,0.1749,2.192523760131643
141,0.1767,2.191643766210049
142,0.178,2.190759954573233
143,0.1798,2.1898880487755883
144,0.1812,2.1890115375760235
145,0.1824,2.1881332306922237
146,0.1842,2.1872541270678556
147,0.1852,2.186383648763729
148,0.1863,2.185510780237898
149,0.1886,2.184642203246491
150,0.1898,2.1837761703925795
151,0.1922,2.18290145487725
152,0.1946,2.182034567941593
153,0.1979,2.1811688067037847
154,0.2006,2.180298877667777
155,0.2026,2.1794376584547983
156,0.2037,2.1785747129705886
157,0.2061,2.177707150012632
158,0.2085,2.176836747157423
159,0.2115,2.1759692204149466
160,0.2137,2.1751046603239037
161,0.2155,2.1742368438575843
162,0.2176,2.1733734698235234
163,0.2194,2.172512796860707
164,0.2223,2.171658543091786
165,0.2265,2.170797079424315
166,0.2293,2.1699395089209834
167,0.2317,2.169082614439952
168,0.2343,2.168228843544103
169,0.2375,2.1673730657070496
170,0.241,2.1665184075319313
171,0.245,2.165669676623767
172,0.2474,2.164817837220204
173,0.2497,2.163966465599929
174,0.2525,2.1631156311759465
175,0.2559,2.162269803542125
176,0.2583,2.161416898799848
177,0.2615,2.160567854024187
178,0.2646,2.159724226480798
179,0.2677,2.1588802096209947
180,0.2712,2.1580383687079707
181,0.2749,2.157188412509387
182,0.2786,2.15634433529045
183,0.2807,2.155500070958198
184,0.2834,2.154664543610585
185,0.2862,2.1538257568697388
186,0.2889,2.152983013587662
187,0.2914,2.1521518079540396
188,0.2946,2.1513195188739633
