round,accuracy,loss
0,0.0449,2.3065115620818317
1,0.0974,3.0535411985614633
2,0.1032,2.6784281549574454
3,0.1531,3.1204584338996986
4,0.1807,3.2602496841285804
5,0.1342,3.950595614276355
6,0.1813,3.9616711471654193
7,0.1759,4.168641063231457
8,0.176,3.6166954553579984
9,0.1888,4.873607442348818
10,0.1482,6.9793075670169875
11,0.1431,5.510448630852036
12,0.1501,4.191239239294318
13,0.1548,4.67166638072533
14,0.1616,4.3949489231351055
15,0.2326,5.458348370805571
16,0.2136,5.916152350510223
17,0.1803,5.866424530367308
18,0.1359,6.551508849180197
19,0.2491,5.926911661896525
20,0.1783,6.3021442316755465
21,0.1785,8.072187840184078
22,0.252,6.769554355476476
23,0.1788,9.152457792547684
24,0.1216,6.339705799199358
25,0.238,6.052529552314855
26,0.1801,5.087052354329749
27,0.262,4.495265061342264
28,0.1681,6.453289557106888
29,0.2047,6.249609651444834
30,0.1881,5.757650085642368
31,0.2262,4.542792229712764
32,0.2458,4.124085722090323
33,0.166,5.607243411148651
34,0.2073,7.929035621353343
35,0.1391,7.723478425907183
36,0.1999,8.801829078529455
37,0.2509,7.695563080944592
38,0.2112,6.790453856504416
39,0.2523,8.405045762846742
40,0.172,8.06038921090621
41,0.1714,9.770538571514662
42,0.1661,7.5371147348910945
43,0.2597,6.888007707233671
44,0.297,4.9734771583653705
45,0.2125,5.606160640716553
46,0.2049,6.01319987864434
47,0.1464,9.13537307932407
48,0.2341,12.462100717085827
49,0.2181,7.833571880678587
50,0.3455,5.496420974972882
51,0.2774,6.966831364209139
52,0.3634,6.350232667560819
53,0.2531,6.277765062790882
54,0.2942,5.245406271536139
55,0.344,5.163049196895165
56,0.266,7.564178020139284
57,0.1686,11.0045793267745
58,0.2307,11.164290452305275
59,0.2021,9.352136400681507
60,0.273,8.20427158210851
61,0.21,7.336945642398883
62,0.2322,7.515497986274429
63,0.2922,7.1774599521974976
64,0.1769,6.04411736017541
65,0.2521,5.9090076217168495
66,0.1353,8.703794901884056
67,0.1752,7.6013998804213125
68,0.1912,9.76515031766288
69,0.1702,10.19143892843512
70,0.2247,5.572917799406413
71,0.1679,6.052430865130847
72,0.2081,4.960356817969793
73,0.1599,6.346523194373408
74,0.2194,6.673307056668438
75,0.3247,4.380847399747824
76,0.2453,5.101535960088802
77,0.1275,12.188923630533338
78,0.1861,15.656474294541757
79,0.2683,6.694890173175667
80,0.23,7.225508834742293
81,0.161,9.046121941337102
82,0.1872,8.171804995476444
83,0.1841,7.318889889536025
84,0.2111,7.499889748005927
85,0.2105,7.5932013656519635
86,0.2049,7.453936069826536
87,0.164,5.913750298415558
88,0.1854,6.065233638014974
89,0.245,5.397290501413466
90,0.246,3.8430497284176983
91,0.2306,4.570125951042658
92,0.1972,4.3384225308140625
93,0.1685,6.68674044669429
94,0.1374,5.739544874505151
95,0.1329,4.060291308390943
96,0.1856,3.1973456129243103
97,0.1942,4.323626032358484
98,0.1696,4.1402642394922955
99,0.1508,5.181403238562089
100,0.1775,5.587370842317991
101,0.1549,5.5678105595745615
102,0.1922,3.372421750539466
103,0.1812,3.6216889997071857
104,0.1684,3.226797900622404
105,0.1134,4.7510844272903245
106,0.1646,5.005744888812681
107,0.1279,7.551657513727116
108,0.2117,3.9269682666923424
109,0.1837,3.960036377363567
110,0.1461,5.296320402169529
111,0.2028,6.361053255539906
112,0.1228,4.329860014251516
113,0.1144,3.526337047166462
114,0.1517,3.8313747538795955
115,0.1175,5.302856843682784
116,0.1983,4.331499135946926
117,0.1022,4.779269070564946
118,0.1408,3.3797045719774466
119,0.1275,3.6968338942225976
120,0.1178,4.449416743049139
121,0.1731,4.814780362044709
122,0.088,5.258609741548948
123,0.1118,5.475996572760087
124,0.1443,3.7835106185719938
125,0.1125,4.646554439882689
126,0.1058,3.9773145808449275
127,0.0976,5.175202755988399
128,0.1353,4.471537107153784
129,0.0985,4.199250124677827
130,0.1144,3.9257668362388127
131,0.1002,3.3438478059406522
132,0.0854,3.5118839740753174
133,0.132,4.476479388490508
134,0.1363,6.059009714971615
135,0.1513,4.818389774877814
136,0.1033,4.971320773981795
137,0.1934,3.6730278594584407
138,0.1838,3.5487374655808073
139,0.1196,5.036922406546677
140,0.1285,5.636207182196122
141,0.1374,4.065237184114094
142,0.1021,3.6316668715658067
143,0.0901,4.472986716258375
144,0.1546,3.7460929110080383
145,0.1025,3.5075856522668767
146,0.1178,4.880812548383882
147,0.1668,4.276480922216101
148,0.1233,4.76259770574449
149,0.1343,4.636051126673252
150,0.1183,4.784746972820427
151,0.1087,3.6521134708501117
152,0.1311,3.823661481277852
153,0.1428,4.030152224287202
154,0.1057,3.762699410885195
155,0.1109,5.780095347875281
156,0.0958,5.318517727187917
157,0.1102,6.100224639796004
158,0.1115,8.461868117127237
159,0.1006,5.485997857926767
160,0.1119,4.840356298639804
161,0.1513,3.6769252487375765
162,0.0833,3.798015546195115
163,0.1075,2.7369584735435777
164,0.1018,4.749320519121388
165,0.1513,4.802842568747605
166,0.1025,4.960818876194049
167,0.0708,3.7498772144317627
168,0.1005,6.005818529974056
169,0.1144,8.869182912609245
170,0.0991,7.045322303530536
171,0.1161,2.7520568642435195
172,0.1195,5.940898846976364
173,0.0838,3.5596147609662405
174,0.1004,5.1659178914903086
175,0.1117,2.9077977590923068
176,0.125,4.572175155712079
177,0.1106,4.645658260659326
178,0.1113,4.545204905015003
179,0.1128,5.491309419462953
180,0.1722,4.686791652365576
181,0.1047,3.208680267575421
182,0.1044,5.981816539281531
183,0.1048,4.265269176869452
184,0.0757,3.062928990472721
185,0.1125,6.968707060512108
186,0.067,4.186001587517654
187,0.0774,3.1748018294950073
188,0.1138,5.761199021641212
189,0.0709,5.652062500579448
190,0.0998,8.183115150355086
191,0.1102,11.938134579718868
192,0.0993,6.4252411443975905
193,0.1231,4.015238049664075
194,0.1131,5.091170190255853
195,0.0958,5.617308417453041
196,0.1254,5.760526095764546
197,0.1046,5.140070266361478
198,0.0882,7.233478564250318
199,0.1102,3.233520082280606
200,0.0942,4.003985676584365
