round,accuracy,loss
0,0.1135,2.3074004257781597
1,0.1602,2.3165127325661574
2,0.091,2.2606912172293363
3,0.2179,2.203462027296235
4,0.1397,2.234477595437931
5,0.2316,2.3694288760800903
6,0.1921,2.621409742138054
7,0.2085,2.430025287821323
8,0.2045,2.551337302485599
9,0.3399,2.69357319421406
10,0.1246,2.667894794971128
11,0.2697,2.625501946557926
12,0.32,2.325760681417924
13,0.3485,2.224350977547561
14,0.2535,2.4225949486599694
15,0.2522,2.582804538026641
16,0.2648,2.7137522667269165
17,0.2777,2.638401535492909
18,0.2735,2.79233519638641
19,0.2444,2.736626534522334
20,0.17,2.956243994869763
21,0.2717,3.0819575273537936
22,0.282,2.9585414113877695
23,0.2024,3.2450122712533687
24,0.2607,2.8555557667454585
25,0.3455,2.97661701938774
26,0.396,2.452106687087047
27,0.3619,2.37893104251427
28,0.331,2.1076835408995422
29,0.3812,2.3922879484635367
30,0.2232,2.58383880084074
31,0.2962,2.926571601553808
32,0.3163,2.986987633041189
33,0.249,3.4911870171752155
34,0.2335,3.5790058449853825
35,0.2196,3.637994404080548
36,0.3758,4.091170655021185
37,0.3009,3.758393743370153
38,0.2012,2.8852836602850807
39,0.2762,2.87233629407762
40,0.3206,2.7845828684070444
41,0.2918,2.4464752674102783
42,0.3841,2.530405433872078
43,0.2933,2.7167948559869695
44,0.2793,2.6330608567105065
45,0.3046,2.6066774054418635
46,0.3603,2.8076380717603464
47,0.3593,2.3913781446746634
48,0.2835,2.2518387112436415
49,0.4308,2.441029512429539
50,0.3908,2.229003628597984
51,0.3387,2.28917475591732
52,0.4673,2.7747049301485474
53,0.2925,2.424065979221199
54,0.3553,2.681667931472199
55,0.27,2.7523769155333313
56,0.3873,3.232743302478066
57,0.2993,2.8927822324294077
58,0.3772,3.2567026373706285
59,0.3447,2.9093742400785034
60,0.2994,2.907519705687897
61,0.3866,2.943571443799176
62,0.328,2.816413812999484
63,0.37,2.6240812856939773
64,0.3726,2.917284017876734
65,0.2226,2.6850324220295194
66,0.3739,3.080694720714907
67,0.2515,2.419922913177104
68,0.4547,2.970634354820734
69,0.3477,2.6912602140933655
70,0.286,2.5495057709609408
71,0.381,2.6870173502571975
72,0.1795,2.3785901341257216
73,0.5083,2.7969825509228285
74,0.4217,2.446621947650668
75,0.3578,2.0116531879087036
76,0.4339,2.3985131662103196
77,0.3507,2.277139612391025
78,0.3992,2.5899158550214163
79,0.2618,2.295679362514351
80,0.4668,2.832097901573664
81,0.3146,2.428700003442885
82,0.3586,2.8590309529364863
83,0.2585,2.5122978174233737
84,0.4831,3.471187688127349
85,0.3029,3.4208905968485
86,0.3826,3.831675861455217
87,0.2647,2.8883086427857605
88,0.3971,3.2684044988849497
89,0.1865,2.9667578739455984
90,0.344,2.788601534276069
91,0.2586,2.7534402110908607
92,0.4296,2.7357640900189364
93,0.3035,2.6849919874456862
94,0.3478,2.5468037369885024
