round,accuracy,loss
0,0.1029,2.3071630695198158
1,0.085,2.303408414502687
2,0.1145,2.298958633519426
3,0.1312,2.2998119456858577
4,0.1318,2.2939517226400254
5,0.1347,2.2996022218390357
6,0.1487,2.2932692449304124
7,0.1618,2.2847360025478314
8,0.1873,2.2775051020368746
9,0.1966,2.274495441702348
10,0.2121,2.273572212533106
11,0.2012,2.2738623860516127
12,0.1944,2.2694905377641508
13,0.196,2.2694138605383376
14,0.1944,2.2671106706691693
15,0.1924,2.2667424920239028
16,0.199,2.2633771896362305
17,0.2033,2.262269014044653
18,0.2165,2.260657458365718
19,0.2095,2.2589908279950106
20,0.2122,2.257774700092364
21,0.2168,2.256670429736753
22,0.2232,2.255310016342356
23,0.2265,2.254549624044684
24,0.2368,2.2521073214615446
25,0.2402,2.25161398211612
26,0.2383,2.2515548150750657
27,0.238,2.250321336939365
28,0.2381,2.249953610987603
29,0.2352,2.249395044544075
30,0.2311,2.2487396228162546
31,0.231,2.2480764389038086
32,0.2349,2.2472710186922096
33,0.2338,2.246725737294064
34,0.2364,2.246181409570235
35,0.237,2.245773466327522
36,0.2381,2.245566733275788
37,0.2383,2.2451602658139
38,0.2388,2.2448316495629808
39,0.2398,2.244726497915727
40,0.2393,2.244565505015699
41,0.239,2.2442163455335398
42,0.2392,2.243949401227734
43,0.2391,2.243810988679717
44,0.2403,2.2435709524758254
45,0.2404,2.2434918186332604
46,0.2408,2.2434792186640484
47,0.2403,2.2433117975162555
48,0.2404,2.243199707586554
49,0.2399,2.2431587086448186
50,0.2402,2.2431226048288466
51,0.2409,2.243071501768088
52,0.241,2.2430578424960754
53,0.2411,2.242975609211982
54,0.2411,2.242838615103613
55,0.2411,2.2427455624447594
56,0.2412,2.2426950931549072
57,0.2414,2.2426579813413983
58,0.2413,2.242590662799304
59,0.2413,2.2425381714784645
60,0.2413,2.242492177818395
61,0.2413,2.2424691658985765
62,0.2413,2.2424176373059237
63,0.2413,2.242394927181775
64,0.2413,2.2423372389395024
65,0.2413,2.242308073405978
66,0.2416,2.242289407343804
67,0.2413,2.2422865674465515
68,0.2415,2.242266274705718
69,0.2415,2.2422609027427964
70,0.2416,2.2422458461568326
71,0.2417,2.2422341938260235
72,0.2416,2.2422244035744967
73,0.2416,2.242212823674649
74,0.2415,2.242205825033067
75,0.2415,2.242200329333921
76,0.2415,2.242194462426101
77,0.2415,2.242191700995723
78,0.2415,2.242186664025995
79,0.2415,2.2421803444246704
80,0.2415,2.2421710521359985
81,0.2415,2.242162701449817
82,0.2415,2.2421607216702233
83,0.2415,2.242160374605203
84,0.2415,2.2421580749221994
85,0.2415,2.242151713069481
86,0.2415,2.2421499717084665
87,0.2415,2.2421484989455984
88,0.2415,2.2421472947808763
89,0.2415,2.2421444277220135
90,0.2415,2.2421429398693618
91,0.2415,2.24214049230648
92,0.2416,2.242138533652583
93,0.2416,2.2421380024922044
94,0.2416,2.242137039764018
95,0.2416,2.2421363245082806
96,0.2416,2.2421358084376855
97,0.2416,2.242136101179485
98,0.2416,2.242136442208592
99,0.2416,2.2421355790729764
100,0.2416,2.2421352410618263
101,0.2416,2.242134543913829
102,0.2416,2.242134516752219
103,0.2416,2.2421342209924626
104,0.2416,2.242133569113816
105,0.2416,2.2421331043484845
106,0.2416,2.242132959486563
107,0.2416,2.2421326154394996
108,0.2416,2.2421323740029635
109,0.2416,2.242132198961475
110,0.2416,2.2421319907224633
111,0.2416,2.242131851896455
112,0.2416,2.242131812663018
113,0.2416,2.2421315682085257
114,0.2416,2.2421313841131667
115,0.2416,2.2421312875385526
116,0.2416,2.242131275466726
117,0.2416,2.2421310913713675
118,0.2416,2.2421308982221384
119,0.2416,2.2421308408809613
120,0.2416,2.24213073223452
121,0.2416,2.24213073223452
122,0.2416,2.2421306235880794
123,0.2416,2.2421305330493784
124,0.2416,2.24213036706176
125,0.2416,2.242130324810366
126,0.2416,2.2421303006667124
127,0.2416,2.242130264451232
128,0.2416,2.242130195038228
129,0.2416,2.2421301890023146
130,0.2416,2.242130146750921
131,0.2416,2.2421301014815707
132,0.2416,2.2421300803558735
133,0.2416,2.242130044140393
134,0.2416,2.242129977745346
135,0.2416,2.2421299837812594
136,0.2416,2.2421299807633024
137,0.2416,2.2421299596376056
138,0.2416,2.242129917386212
139,0.2416,2.242129926440082
140,0.2416,2.242129908332342
141,0.2416,2.242129899278472
142,0.2416,2.242129908332342
143,0.2416,2.242129908332342
144,0.2416,2.242129875134818
145,0.2416,2.242129890224602
146,0.2416,2.242129890224602
147,0.2416,2.242129875134818
148,0.2416,2.242129887206645
149,0.2416,2.2421298690989047
150,0.2416,2.242129866080948
151,0.2416,2.242129875134818
152,0.2416,2.2421298690989047
153,0.2416,2.242129866080948
154,0.2416,2.242129875134818
155,0.2416,2.242129866080948
156,0.2416,2.2421298721168617
157,0.2416,2.242129875134818
158,0.2416,2.2421298721168617
159,0.2416,2.2421298721168617
160,0.2416,2.2421298690989047
161,0.2416,2.2421298841886883
162,0.2416,2.242129875134818
163,0.2416,2.2421298690989047
164,0.2416,2.2421298690989047
165,0.2416,2.2421298721168617
166,0.2416,2.2421298841886883
167,0.2416,2.242129875134818
168,0.2416,2.2421298781527748
169,0.2416,2.2421298690989047
170,0.2416,2.2421298690989047
171,0.2416,2.242129866080948
172,0.2416,2.2421298721168617
173,0.2416,2.242129875134818
174,0.2416,2.242129866080948
175,0.2416,2.242129875134818
176,0.2416,2.2421298721168617
177,0.2416,2.2421298721168617
178,0.2416,2.242129866080948
179,0.2416,2.2421298630629916
180,0.2416,2.2421298721168617
181,0.2416,2.242129875134818
182,0.2416,2.2421298690989047
183,0.2416,2.2421298600450346
184,0.2416,2.2421298690989047
185,0.2416,2.2421298600450346
186,0.2416,2.2421298600450346
187,0.2416,2.2421298721168617
188,0.2416,2.242129866080948
189,0.2416,2.242129866080948
190,0.2416,2.2421298721168617
191,0.2416,2.2421298630629916
192,0.2416,2.2421298690989047
193,0.2416,2.242129866080948
194,0.2416,2.2421298630629916
195,0.2416,2.2421298630629916
196,0.2416,2.2421298600450346
197,0.2416,2.242129866080948
198,0.2416,2.2421298721168617
199,0.2416,2.2421298721168617
200,0.2416,2.242129866080948
