round,accuracy,loss
0,0.0986,2.310800383362589
1,0.0889,2.9092887232575237
2,0.1807,3.0150784721857384
3,0.1472,3.32281398169602
4,0.1646,3.6952598185478887
5,0.1323,5.6323282024528405
6,0.1413,7.193469639065899
7,0.1775,5.463395945633514
8,0.1147,6.948868974854674
9,0.1261,9.899383454383175
10,0.1085,6.642940859251384
11,0.1439,5.211883062048804
12,0.2267,6.118866679034656
13,0.1563,5.7824062274981145
14,0.2359,5.212239223190501
15,0.2501,6.325003207484378
16,0.1934,6.687373867517786
17,0.2021,8.2796141045003
18,0.2031,7.592297777344909
19,0.2498,7.733683658551566
20,0.3126,7.309347219105009
21,0.2712,8.866095736056943
22,0.3211,8.802835066107255
23,0.2445,8.38700890239281
24,0.2473,10.032901232755638
25,0.2499,8.598563236526296
26,0.3381,7.969522391693501
27,0.1773,12.09469523610948
28,0.2426,14.252437313900717
29,0.2075,13.77691646769077
30,0.2459,10.752436239508134
31,0.3118,8.782506610773787
32,0.2739,12.508587366417993
33,0.2813,11.39028778559045
34,0.2908,11.481862309612806
35,0.253,13.177231136756607
36,0.2414,15.661668922327742
37,0.2942,13.383642353589021
38,0.2007,18.48285399811177
39,0.2569,16.922641174702704
40,0.1932,23.57689606388913
41,0.1605,25.41939621937426
42,0.1994,16.643392466291598
43,0.1982,15.35043171991276
44,0.2592,17.251999975759773
45,0.1797,24.237291818932643
46,0.2519,14.209874515292011
47,0.2601,14.304441765893865
48,0.3044,11.252033861377571
49,0.2758,12.734730744663674
50,0.2898,12.356610871568511
51,0.2655,11.182697911805745
52,0.191,13.78962027875683
53,0.2729,13.446572822860524
54,0.1816,18.336449707610697
55,0.2821,16.11703365663939
56,0.2313,16.193141056012504
57,0.2546,19.919764337660393
58,0.1687,30.444767746744276
59,0.2221,34.315506126307234
60,0.2196,24.344202621073663
61,0.2383,21.12603272063823
62,0.2528,18.099230283423314
63,0.2515,17.319426584847367
64,0.2892,19.226298452932625
65,0.3093,15.332444649708423
66,0.2362,18.251608595063416
67,0.2202,16.565946941134296
68,0.2476,17.320407215552994
69,0.2597,16.873505423340617
70,0.2674,18.919046184684657
71,0.2464,22.287063164047048
72,0.3635,16.315393001218386
73,0.3423,18.422503012645095
74,0.3133,19.68983633306962
75,0.3597,18.33169245418114
76,0.3416,18.417246915117094
77,0.2977,21.92340261724931
78,0.2683,20.099787072290347
79,0.3475,18.076551026935817
80,0.261,18.355690606032745
81,0.3193,16.837467036669768
82,0.2721,21.28862096086333
83,0.2904,22.571191159984732
84,0.2377,29.74903275695028
85,0.2157,30.54806723775743
86,0.2387,24.48835800267473
87,0.2432,19.547405206704443
88,0.2572,20.326699124106877
89,0.212,18.637149170984195
90,0.259,18.703658997258053
91,0.2986,16.036405889293814
92,0.2945,19.594422835337966
93,0.2955,20.613683193544798
94,0.3408,21.029365032534056
95,0.2901,18.609514164019235
96,0.2642,21.116795769220666
97,0.3301,23.910399931895583
98,0.19,30.309975925880142
99,0.2463,27.028721193724042
100,0.2595,17.296735860124418
101,0.286,21.66253406186647
102,0.2212,18.71487906009336
103,0.3167,21.845739231833928
104,0.3219,19.83998112738887
105,0.1981,23.05926257749147
106,0.2294,17.89607330515415
107,0.2183,16.378214811976953
108,0.2667,18.91370884376236
109,0.2456,14.89764020412783
110,0.2672,16.961882639534867
111,0.2958,15.29348768161822
112,0.2534,15.081082609635365
113,0.2294,12.514059730722934
114,0.263,8.880601218984097
115,0.2385,10.28911114342605
116,0.2956,10.9464359162729
117,0.2485,6.085415948795367
118,0.1902,7.650814183150666
119,0.1493,5.345325418665439
120,0.2034,6.269076914726933
121,0.1982,3.456750257105767
122,0.2304,4.228497927701926
123,0.2065,4.069506053683124
124,0.1862,3.9072875282432458
125,0.2165,3.9446282809293725
126,0.1627,2.8068785546701167
127,0.1357,3.5566052605834186
128,0.1852,4.347004920621462
129,0.1316,3.211995662013187
130,0.1945,4.072005926808225
131,0.1969,3.2511894733090942
132,0.1733,4.562476764751386
133,0.2549,3.8491096949275536
134,0.097,7.655362515509883
135,0.2294,3.9815805260139174
136,0.2067,5.501838563363763
137,0.2132,4.717697650571413
138,0.1616,6.524725213835511
139,0.1728,6.419967989378337
140,0.1719,4.737055078337464
141,0.2069,4.156628439698038
142,0.158,5.381659299512453
143,0.081,11.687151510504227
144,0.091,10.98159998881666
145,0.0868,6.575071709065497
146,0.129,7.353754562667653
147,0.136,6.259073631672919
148,0.117,10.173902149441876
149,0.0848,6.7568942746029625
150,0.1088,6.7478719481939
151,0.0921,11.003968166399606
152,0.104,10.534369782556462
153,0.1017,8.58684353285198
154,0.1098,13.23935385595394
155,0.1178,8.844738773152798
156,0.0991,8.741316004644466
157,0.1096,7.649433612823486
158,0.1095,4.0449548582487465
159,0.1019,9.38635772994802
160,0.1039,11.139031856874876
161,0.1263,8.4238855325723
162,0.1753,5.462530199485489
163,0.1214,5.088548563703706
164,0.1589,3.3376822049104713
165,0.1298,8.058884711205204
166,0.1433,3.3797387986243526
167,0.1104,6.570009632955624
168,0.1746,3.688973813117305
169,0.1615,4.467211831974078
170,0.1221,4.617271248298355
171,0.1387,6.640498879589612
172,0.1369,4.782434391070016
173,0.137,5.584790139258662
174,0.138,4.576513317566883
175,0.1315,4.43726760224451
176,0.1577,3.449600527558146
177,0.1261,4.393520566481579
178,0.1496,4.540941117685052
179,0.0972,9.288520299935643
180,0.1283,8.619825508021101
181,0.105,14.130589014367212
182,0.1036,24.414606046073043
183,0.0867,12.328352203852013
184,0.1149,14.49123726615423
185,0.0953,11.535254381879975
186,0.1005,12.019464673875254
187,0.11,7.026042648508579
188,0.1164,6.802590026131159
189,0.133,6.447215623493436
190,0.0735,7.780496868906142
191,0.101,19.543720052212098
192,0.1018,19.69013432611393
193,0.1267,12.81912932818449
194,0.1793,9.654734019991718
195,0.1344,5.286205355125137
196,0.151,4.08310676224624
197,0.1928,4.908706182165991
198,0.2167,8.995883784716643
199,0.1544,5.066465148442908
200,0.1466,3.4652489770816852
