round,accuracy,loss
0,0.1119,2.305658427974846
1,0.8382,0.6408456680895407
2,0.9011,0.3189356252551079
3,0.9249,0.25329165203095994
4,0.9288,0.22840833364502539
5,0.9424,0.18707720563994557
6,0.9516,0.15774677310704807
7,0.9535,0.14772892517002323
8,0.9598,0.13077951755516137
9,0.9627,0.12816449593092444
10,0.9632,0.11989386644674159
11,0.9688,0.102497588259557
12,0.9603,0.12485399976655652
13,0.9696,0.09979178276372767
14,0.9708,0.09634540140440193
15,0.9718,0.09104252851249862
16,0.9707,0.09256771886190754
17,0.9747,0.08658997027816463
18,0.9746,0.0863153237283607
19,0.9728,0.0900266284540832
20,0.9718,0.09201484872028232
21,0.9768,0.08014528773823765
22,0.9763,0.08320626781485634
23,0.9757,0.08289256813210918
24,0.9759,0.0852798711916703
25,0.975,0.08837539480396404
26,0.9761,0.08393411690264622
27,0.9768,0.08508101924410226
28,0.9769,0.08255416306809234
29,0.9752,0.08284417644903488
30,0.9774,0.07491041354568309
31,0.9785,0.07703428500716182
32,0.9792,0.07710226712257695
33,0.9791,0.07608325745646262
34,0.9792,0.07625635271679014
35,0.9789,0.0782785778456291
36,0.9775,0.08139589412936012
37,0.9787,0.0817222241960194
38,0.9783,0.08342250858246028
39,0.9792,0.08096049401515475
40,0.9779,0.08619643406430591
41,0.9788,0.0851259927947444
42,0.9783,0.08624962785543636
43,0.979,0.08342331213364709
44,0.9788,0.08406784365652589
45,0.9785,0.08457271379237785
46,0.978,0.08672628220393805
47,0.9783,0.08647063398790193
48,0.9781,0.08719929206393007
49,0.9782,0.08691012232794734
50,0.9786,0.08782032936237613
51,0.9788,0.08815060344160791
52,0.9786,0.08910855599618957
53,0.9782,0.08995792326493733
54,0.9787,0.08995173287469617
55,0.9789,0.09126367441548829
56,0.9784,0.09079622655659891
57,0.9736,0.0913448132253311
58,0.9803,0.07745573610184152
59,0.9788,0.08007328682338717
60,0.9803,0.07922480482203711
61,0.9802,0.07900744200779178
