round,accuracy,loss
0,0.1032,2.305618971208983
1,0.5625,2.111485170412667
2,0.8,1.15561043310769
3,0.8672,0.48777144373972203
4,0.8894,0.3840633938206902
5,0.9067,0.3258552159406716
6,0.9095,0.30304822339853155
7,0.9215,0.26579208344315425
8,0.9235,0.2595535411817741
9,0.9295,0.23220253988063033
10,0.9368,0.2158564824988193
11,0.94,0.20550706159747853
12,0.9422,0.19262250173318235
13,0.9406,0.19309306959326886
14,0.9487,0.16748351255974062
15,0.9526,0.16488971812296896
16,0.9528,0.1510567240582048
17,0.954,0.14630333862349956
18,0.9544,0.14567862936778914
19,0.9576,0.13921019699000106
20,0.9539,0.14978471293432427
