round,accuracy,loss
0,0.2179,2.29289567923244
1,0.114,3.0512406162068815
2,0.057,3.4204972846598567
3,0.1174,3.6779397228096107
4,0.1014,4.509013507939592
5,0.1063,7.928821455074262
6,0.1054,7.326109342937228
7,0.2102,6.800403335426427
8,0.124,10.213536938534507
9,0.1555,11.735563145408147
10,0.2544,7.564138237434097
11,0.2251,7.580899480022961
12,0.2815,5.701694440238083
13,0.1529,9.96468222895755
14,0.2785,8.741857546794263
15,0.173,9.918245919143097
16,0.2388,8.825056896934026
17,0.1534,9.595281196545951
18,0.2821,10.067297754408438
19,0.2474,8.5273189665396
20,0.2337,12.627188441119616
